Experiment,Timepoint,Treatment,Tissue,Mouse,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB,Target
260404.JM1L,Pre,PBS,SPL,R1-2,23.81689737,10.6268739,8.950577247,0.1297185108,0.509783053,1.140649221,10.04681366,3.55614169,3.516037729,66.6674379,2.756376144,0.7002768716,9.377020514,7.169441724,9.422135162,1.018609207,8.591576885,2.595494613,0.04113614104,46.53085211,3500,0.09184153295,0.2887497796,4.745819373,1.117895139,0.6373802386,2.152765532,0.5813569035,0.9136395697,0.7125066126,61.93343899,2.517138838,0.1980092238,0.02742214071,3.103331612,32.6,0
260404.JM1L,Pre,PBS,SPL,R1-3,20.10572193,13.7120722,16.13937451,0.1633295021,1.010324342,1.952396516,8.811258724,3.762520908,5.008363294,62.89196932,3.690423548,0.9795628016,9.363832275,4.693692206,9.02823646,0.1300363276,6.850643989,2.059940555,0.03302509908,64.30399604,2987,0.06494071261,0.313686835,4.49231245,2.281235806,0.4373834305,2.481276394,0.4408623972,1.290503387,0.571903478,68.2817702,2.390852391,0.1508366893,0.2366136982,4.939810709,34.6,0
260404.JM1L,Pre,PBS,SPL,R1-4,16.87424684,14.02330654,14.64679196,0.1872254627,0.8386384458,1.572740727,7.551269703,2.889426578,5.978528976,71.04465691,4.51854636,0.8973666283,6.719731084,6.654082114,11.66823974,0.6724870222,10.76274186,4.837187353,0.0530910807,53.56595092,3492,0.1068291368,0.3654785311,4.415670388,2.750998922,0.9834622947,1.766743832,0.516109596,0.6308666836,0.7313534598,48.61360003,3.067799947,0.23493214,0.05673077244,6.248727729,33.5,0
260404.JM1L,Pre,DPP15.TS,SPL,R2-1,18.11078103,12.82729986,15.43597006,0.1685885764,1.003234961,1.679004505,7.904816719,1.92212277,3.579296247,68.36088674,2.394466827,0.6192073352,8.128231533,5.980808349,9.186786946,0.08622976917,7.855753073,1.572035023,0.9750596975,58.97895109,16926,0.08788151631,0.3400241899,4.46632197,2.376035843,0.1967898985,1.809388765,0.4897282862,0.7008955288,0.6983794936,60.32948458,3.644402739,0.1892268112,0.1699623411,5.585453461,24.4,1
260404.JM1L,Pre,DPP15.TS,SPL,R2-2,15.61675812,11.70349237,21.42230796,0.2192213259,1.170440281,1.868985076,5.799897717,0.6427541959,3.629875866,80.76967781,1.971267841,0.4335394486,9.103664591,6.155042469,8.784942377,0.06779120309,12.58324361,2.875144555,0.6141085457,52.85121825,9718,0.1426701832,0.3695629682,6.494397563,3.042178461,0.1172581913,2.090680878,0.4447098586,0.9404252152,0.7282350827,58.81565344,3.566589393,0.3040655523,0.3923633632,4.552956211,24,1
260404.JM1L,Pre,DPP15.TS,SPL,R2-3,23.02399792,11.12249093,12.09596592,0.1879228264,0.8677996927,1.315418143,5.169953905,2.244363614,2.78213289,74.41284375,2.018594588,0.51503559,9.722623311,3.824162768,8.327764164,1.145392441,9.892700676,2.188683448,0.9281948467,46.31692285,11088,0.09908888761,0.5815380617,5.44068384,1.669349948,0.1483625967,2.08068615,0.4227070579,0.9336736167,0.5849673674,58.76844495,3.659176138,0.2521587954,0.1673874625,7.34062271,32.4,1
260404.JM1L,Pre,DPP15.IN,SPL,R3-1,19.63857051,11.55625674,13.30904718,0.1626936408,0.8193653038,0.8914583593,7.578089257,1.066607513,3.191041976,76.36318263,2.375835887,0.4616728362,9.322800716,4.700018496,7.795722477,0.4575411544,6.530183114,1.792198437,0.09540219814,52.56563769,3248,0.0883062712,0.456143185,4.44862127,1.629808857,0.1423972657,2.104375653,0.4857298699,0.8688139097,0.6484566369,59.82022654,3.557119741,0.1491909385,0.2802588997,4.625242718,40.3,0
260404.JM1L,Pre,DPP15.IN,SPL,R3-2,18.6661959,13.53016116,15.34182722,0.1429459291,0.9671537283,1.091147796,6.849821303,2.851377307,3.748024604,75.0251635,2.834844764,0.61267657,7.46883824,4.653169356,8.567470348,0.1008652537,6.454160996,3.358934474,0.06805366518,46.55599844,3285,0.07724068324,0.5051958201,3.281503715,1.928021849,0.1247105743,1.72171389,0.4670746838,0.6902648602,0.7233939429,58.15045872,2.558256881,0.1811926606,0.2062691131,5.716666667,34.8,0
260404.JM1L,Pre,DPP15.IN,SPL,R3-3,17.02402102,14.53667848,15.72581912,0.1759180724,0.9457654288,1.834891798,6.608068394,2.857066524,4.869356131,74.19022175,3.563986107,0.9740849586,7.342024089,5.800800367,8.905628585,0.1969942884,9.675021372,3.291910845,0.1015945387,61.58611376,3190,0.08050365268,0.3961507429,5.896596924,2.506619947,0.1879328208,2.241640128,0.4102502527,0.933660442,0.5638894271,61.98009554,3.879936306,0.1813694268,0.2891719745,5.672611465,51.9,0
260404.JM1L,Pre,PBS,Lung,R1-2,12.35953088,7.143561266,11.6375345,0.1379944802,1.488200694,0.3685068386,2.72836794,0.09567004465,2.260647722,74.77145489,0.7476436822,0.003543334987,3.315640574,2.351076476,6.775855237,1.030246995,0.1056663585,1.888786158,0.03962488443,1.492537313,3532,0.1051054996,4.486253077,0.8736894658,2.84879698,0.006569093728,2.587784989,0.3722486446,0.4795438421,1.538481751,33.15520205,28.18409661,0,0.1056359908,0.9838646202,11.5,0
