Strain,route of administration,Vector,tissues,Mouse dose,Mouse number ,lymphocytes count,live CD45 count,lung parenchyma count,frequency of lung parenchyma,B cell count,B cell (/ lung parenchyma),Ag-experience count,% Ag-experience (/B cells),Memory B cell count,% memory (B cells),Dendritic cells count,% Dendritc cell (/Live CD45+),CD4 T cell count,% CD4 (/ live CD45),Treg count,% Treg (/ CD4+ T cells),CD8 T cell count,% CD8 (/ live CD45),Grazyme B  count,% GrnzB  (/ CD8 T cells),Monocytes count,% monocytes (/ live CD45),T conv count,% T conv (/ live CD45), Target
C57BL/6,Intramuscular ,VAC-H5/NP,Lung,PBS,1,58004,31389,2080,6.63,78,3.8,10,12.82,5,6.41,344,16.54,108,5.19,16,14.81,19,0.91,1,5.26,272,13.08,92,85.2,no
C57BL/6,Intramuscular ,VAC-H5/NP,Lung,PBS,2,56051,29590,2009,6.79,50,2.5,11,22.00,7,14.00,303,15.08,125,6.22,14,11.20,25,1.24,2,8.00,239,11.90,111,88.8,no
C57BL/6,Intramuscular ,VAC-H5/NP,Lung,PBS,3,62614,35059,2378,6.78,115,4.8,12,10.43,6,5.22,350,14.72,122,5.13,17,13.93,35,1.47,0,0.00,224,9.42,104,85.2,no
C57BL/6,Intramuscular ,VAC-H5/NP,Lung,4.50E+02,1,61634,33720,2525,7.49,68,2.7,5,7.35,2,2.94,364,14.42,250,9.90,14,5.60,16,0.63,2,12.50,286,11.33,236,94.4,no
C57BL/6,Intramuscular ,VAC-H5/NP,Lung,4.50E+02,2,63656,38200,6208,16.25,2767,44.6,370,13.37,316,11.42,315,5.07,578,9.31,83,14.36,205,3.30,18,8.78,313,5.04,494,85.5,no
C57BL/6,Intramuscular ,VAC-H5/NP,Lung,4.50E+02,3,59011,34565,2869,8.30,295,10.3,37,12.54,19,6.44,303,10.56,359,12.51,30,8.36,92,3.21,11,11.96,257,8.96,329,91.6,no
C57BL/6,Intramuscular ,VAC-H5/NP,Lung,4.50E+04,1,59073,35424,4983,14.07,1599,32.1,465,29.08,405,25.33,353,7.08,1053,21.13,60,5.70,148,2.97,28,18.92,288,5.78,992,94.2,no
C57BL/6,Intramuscular ,VAC-H5/NP,Lung,4.50E+04,2,58000,34903,3868,11.08,261,6.7,38,14.56,29,11.11,366,9.46,722,18.67,25,3.46,119,3.08,30,25.21,302,7.81,696,96.4,no
C57BL/6,Intramuscular ,VAC-H5/NP,Lung,4.50E+04,3,55866,32891,6593,20.04,3799,57.6,440,11.58,401,10.56,241,3.66,577,8.75,78,13.52,239,3.63,44,18.41,218,3.31,496,86.0,no
C57BL/6,Intramuscular ,VAC-H5/NP,Lung,4.50E+06,1,59926,34894,3209,9.20,436,13.6,123,28.21,115,26.38,294,9.16,521,16.24,26,4.99,117,3.65,37,31.62,205,6.39,495,95.0,Yes
