Strain,route of administration,Vector,tissues,Mouse dose,Mouse number ,Total cell counts ,Lymphocytes count,live CD45 count,B cells count,% B cell (/live CD45+),Ag-experience count,% Ag-experience (/B cells),Memory B cell count,% memory (/B cells),Plasma cells count,% Plasma cells (/B cells),Macrophages count,%macrophages (/ liveCD45+),Dendritic cell count,%dendritic cell (/live CD45+),NK cells count,% NK (/ live CD45+),CD4 T cells count,% CD4 (/live CD45+),Treg count,% Treg (/CD4+ T cells),CD8 T cells count,% CD8 (/live CD45+ cells),Granzyme B count,GrnzB (/ CD8 T cells),T conv count,Tconv (/ CD4 T cells),Neutrophil count,neutrophil (/ live CD45+),Monocytes count,monocytes (/live CD45+),no macrophages count, Target
C57BL/6,Intramuscular ,VAC-H5/NP,Spleen,PBS,1,8.03E+07,92010,86412,51316,59.4,2450,4.77,323,0.63,11,0.02,189,0.22,336,0.39,26,0.030,15905,18.41,1760,11.07,9513,11.01,114,1.20,13820,86.89,400,0.46,3534,65.75,5375,no
C57BL/6,Intramuscular ,VAC-H5/NP,Spleen,PBS,2,8.20E+07,92255,85123,51252,60.2,2987,5.83,287,0.56,26,0.05,192,0.23,273,0.32,27,0.032,16505,19.39,1725,10.45,9089,10.68,118,1.30,14484,87.76,361,0.42,2377,56.55,4203,no
C57BL/6,Intramuscular ,VAC-H5/NP,Spleen,PBS,3,7.97E+07,92013,85490,46217,54.1,1664,3.60,362,0.78,25,0.05,281,0.33,384,0.45,33,0.039,19158,22.41,2065,10.78,11044,12.92,126,1.14,16770,87.54,451,0.53,3213,63.97,5023,no
C57BL/6,Intramuscular ,VAC-H5/NP,Spleen,4.50E+02,1,1.01E+08,94314,88008,53576,60.9,3172,5.92,469,0.88,34,0.06,175,0.20,427,0.49,24,0.027,17139,19.47,2107,12.29,8640,9.82,69,0.80,14856,86.68,494,0.56,2361,56.11,4208,no
C57BL/6,Intramuscular ,VAC-H5/NP,Spleen,4.50E+02,2,7.80E+07,93476,88238,53787,61.0,2694,5.01,369,0.69,22,0.04,109,0.12,281,0.32,20,0.023,17467,19.80,2392,13.69,9112,10.33,106,1.16,14758,84.49,256,0.29,2683,61.09,4392,no
C57BL/6,Intramuscular ,VAC-H5/NP,Spleen,4.50E+02,3,7.87E+07,94950,89201,51709,58.0,2990,5.78,389,0.75,18,0.03,100,0.11,331,0.37,26,0.029,19205,21.53,2260,11.77,10315,11.56,220,2.13,16709,87.00,256,0.29,2455,58.69,4183,no
C57BL/6,Intramuscular ,VAC-H5/NP,Spleen,4.50E+04,1,1.04E+08,91830,84397,49268,58.4,3118,6.33,637,1.29,70,0.14,137,0.16,375,0.44,17,0.020,17509,20.75,2105,12.02,9823,11.64,147,1.50,15196,86.79,260,0.31,1379,43.50,3170,no
C57BL/6,Intramuscular ,VAC-H5/NP,Spleen,4.50E+04,2,8.77E+07,93403,86180,46502,54.0,3144,6.76,675,1.45,68,0.15,168,0.19,428,0.50,17,0.020,19294,22.39,2388,12.38,11113,12.90,190,1.71,16757,86.85,271,0.31,1970,49.46,3983,no
C57BL/6,Intramuscular ,VAC-H5/NP,Spleen,4.50E+04,3,7.50E+07,93872,86077,50814,59.0,3139,6.18,580,1.14,39,0.08,164,0.19,562,0.65,40,0.046,17514,20.35,2237,12.77,10036,11.66,305,3.04,15132,86.40,259,0.30,2238,55.62,4024,no
C57BL/6,Intramuscular ,VAC-H5/NP,Spleen,4.50E+06,1,7.93E+07,89571,79906,45285,56.7,3396,7.50,613,1.35,44,0.10,304,0.38,623,0.78,31,0.039,14666,18.35,1589,10.83,9692,12.13,711,7.34,12885,87.86,363,0.45,2158,49.13,4392,Yes
