Experiment,Timepoint,Treatment,Tissue,Mouse,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB,Target
C57BL/6,PBS,Intramuscular ,Lung,1,85.2,14.81,,,,,,,,,,,0.91,,,5.26,,,,,,,,,,,13.08,,,16.54,,6.41,,,,,no
C57BL/6,PBS,Intramuscular ,Lung,2,88.8,11.2,,,,,,,,,,,1.24,,,8.0,,,,,,,,,,,11.9,,,15.08,,14.0,,,,,no
C57BL/6,PBS,Intramuscular ,Lung,3,85.2,13.93,,,,,,,,,,,1.47,,,0.0,,,,,,,,,,,9.42,,,14.72,,5.22,,,,,no
C57BL/6,4.50E+02,Intramuscular ,Lung,1,94.4,5.6,,,,,,,,,,,0.63,,,12.5,,,,,,,,,,,11.33,,,14.42,,2.94,,,,,no
C57BL/6,4.50E+02,Intramuscular ,Lung,2,85.5,14.36,,,,,,,,,,,3.3,,,8.78,,,,,,,,,,,5.04,,,5.07,,11.42,,,,,no
C57BL/6,4.50E+02,Intramuscular ,Lung,3,91.6,8.36,,,,,,,,,,,3.21,,,11.96,,,,,,,,,,,8.96,,,10.56,,6.44,,,,,no
C57BL/6,4.50E+04,Intramuscular ,Lung,1,94.2,5.7,,,,,,,,,,,2.97,,,18.92,,,,,,,,,,,5.78,,,7.08,,25.33,,,,,no
C57BL/6,4.50E+04,Intramuscular ,Lung,2,96.4,3.46,,,,,,,,,,,3.08,,,25.21,,,,,,,,,,,7.81,,,9.46,,11.11,,,,,no
C57BL/6,4.50E+04,Intramuscular ,Lung,3,86.0,13.52,,,,,,,,,,,3.63,,,18.41,,,,,,,,,,,3.31,,,3.66,,10.56,,,,,no
C57BL/6,4.50E+06,Intramuscular ,Lung,1,95.0,4.99,,,,,,,,,,,3.65,,,31.62,,,,,,,,,,,6.39,,,9.16,,26.38,,,,,Yes
C57BL/6,4.50E+06,Intramuscular ,Lung,2,93.9,6.15,,,,,,,,,,,2.46,,,12.9,,,,,,,,,,,7.15,,,11.01,,11.19,,,,,Yes
C57BL/6,4.50E+06,Intramuscular ,Lung,3,92.0,8.0,,,,,,,,,,,3.63,,,16.19,,,,,,,,,,,7.22,,,9.53,,12.56,,,,,Yes
C57BL/6,PBS,Intranasal,Lung,1,92.4,7.59,,,,,,,,,,,1.1,,,0.0,,,,,,,,,,,16.13,,,19.78,,11.86,,,,,no
C57BL/6,PBS,Intranasal,Lung,2,81.9,17.62,,,,,,,,,,,1.16,,,2.78,,,,,,,,,,,11.23,,,13.06,,11.49,,,,,no
C57BL/6,PBS,Intranasal,Lung,3,92.9,7.14,,,,,,,,,,,1.02,,,7.69,,,,,,,,,,,16.41,,,16.09,,7.69,,,,,no
C57BL/6,4.50E+02,Intranasal,Lung,1,90.6,8.49,,,,,,,,,,,1.51,,,3.33,,,,,,,,,,,10.54,,,13.47,,12.45,,,,,no
C57BL/6,4.50E+02,Intranasal,Lung,2,84.1,15.15,,,,,,,,,,,3.29,,,4.84,,,,,,,,,,,12.67,,,13.99,,7.75,,,,,no
C57BL/6,4.50E+02,Intranasal,Lung,3,89.7,9.85,,,,,,,,,,,2.08,,,7.5,,,,,,,,,,,8.49,,,10.78,,7.89,,,,,no
C57BL/6,4.50E+04,Intranasal,Lung,1,86.3,13.73,,,,,,,,,,,0.81,,,11.76,,,,,,,,,,,9.99,,,13.66,,9.45,,,,,Maybe
C57BL/6,4.50E+04,Intranasal,Lung,2,90.4,9.24,,,,,,,,,,,6.4,,,21.92,,,,,,,,,,,8.33,,,11.14,,7.69,,,,,Maybe
C57BL/6,4.50E+04,Intranasal,Lung,3,78.3,20.11,,,,,,,,,,,1.36,,,8.82,,,,,,,,,,,14.09,,,17.7,,6.67,,,,,Maybe
C57BL/6,4.50E+06,Intranasal,Lung,1,91.9,7.89,,,,,,,,,,,7.62,,,16.71,,,,,,,,,,,6.37,,,8.91,,19.3,,,,,Yes
C57BL/6,4.50E+06,Intranasal,Lung,2,96.6,3.33,,,,,,,,,,,25.02,,,27.7,,,,,,,,,,,6.44,,,6.73,,27.5,,,,,Yes
C57BL/6,4.50E+06,Intranasal,Lung,3,95.9,3.99,,,,,,,,,,,11.48,,,31.15,,,,,,,,,,,5.96,,,8.05,,32.1,,,,,Yes
BALB/c,PBS,Intramuscular ,Lung,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
BALB/c,PBS,Intramuscular ,Lung,2,78.67,20.36,,,,,,,,,,,6.5,,,0.0,,,,,,,,,,,5.17,,,4.43,,9.49,,,,,no
BALB/c,PBS,Intramuscular ,Lung,3,77.73,21.62,,,,,,,,,,,7.55,,,0.0,,,,,,,,,,,5.11,,,3.71,,3.79,,,,,no
BALB/c,4.50E+02,Intramuscular ,Lung,1,91.58,8.42,,,,,,,,,,,0.84,,,0.0,,,,,,,,,,,6.37,,,4.96,,18.87,,,,,no
BALB/c,4.50E+02,Intramuscular ,Lung,2,81.72,17.91,,,,,,,,,,,2.73,,,0.0,,,,,,,,,,,5.21,,,4.19,,11.54,,,,,no
BALB/c,4.50E+02,Intramuscular ,Lung,3,87.5,12.13,,,,,,,,,,,3.38,,,0.0,,,,,,,,,,,3.75,,,1.92,,6.56,,,,,no
BALB/c,4.50E+04,Intramuscular ,Lung,1,83.78,16.22,,,,,,,,,,,2.95,,,33.9,,,,,,,,,,,5.05,,,4.2,,14.47,,,,,maybe
BALB/c,4.50E+04,Intramuscular ,Lung,2,82.47,17.53,,,,,,,,,,,1.34,,,5.56,,,,,,,,,,,3.42,,,2.23,,17.03,,,,,maybe
BALB/c,4.50E+04,Intramuscular ,Lung,3,86.29,13.71,,,,,,,,,,,2.02,,,27.59,,,,,,,,,,,4.18,,,3.35,,24.72,,,,,maybe
BALB/c,4.50E+06,Intramuscular ,Lung,1,84.21,15.79,,,,,,,,,,,3.4,,,20.0,,,,,,,,,,,5.14,,,2.5,,5.88,,,,,Yes
BALB/c,4.50E+06,Intramuscular ,Lung,2,78.46,20.92,,,,,,,,,,,11.44,,,1.39,,,,,,,,,,,1.98,,,2.16,,2.17,,,,,Yes
BALB/c,4.50E+06,Intramuscular ,Lung,3,83.05,16.95,,,,,,,,,,,2.0,,,11.76,,,,,,,,,,,0.35,,,0.24,,20.59,,,,,Yes
BALB/c,PBS,Intranasal,Lung,1,82.1,17.01,,,,,,,,,,,6.65,,,0.0,,,,,,,,,,,0.03,,,2.44,,1.52,,,,,no
BALB/c,PBS,Intranasal,Lung,2,73.2,26.32,,,,,,,,,,,1.62,,,0.0,,,,,,,,,,,0.08,,,5.08,,3.12,,,,,no
BALB/c,PBS,Intranasal,Lung,3,82.2,17.28,,,,,,,,,,,3.18,,,1.41,,,,,,,,,,,0.04,,,2.28,,1.39,,,,,no
BALB/c,4.50E+02,Intranasal,Lung,1,81.8,18.22,,,,,,,,,,,3.68,,,0.0,,,,,,,,,,,0.03,,,1.6,,4.97,,,,,no
BALB/c,4.50E+02,Intranasal,Lung,2,74.3,24.78,,,,,,,,,,,1.53,,,3.85,,,,,,,,,,,0.04,,,3.96,,2.54,,,,,no
BALB/c,4.50E+02,Intranasal,Lung,3,82.4,17.56,,,,,,,,,,,4.47,,,0.0,,,,,,,,,,,0.06,,,4.97,,2.06,,,,,no
BALB/c,4.50E+04,Intranasal,Lung,1,85.4,14.58,,,,,,,,,,,1.03,,,0.0,,,,,,,,,,,0.03,,,2.68,,1.34,,,,,maybe
BALB/c,4.50E+04,Intranasal,Lung,2,75.9,23.15,,,,,,,,,,,4.0,,,8.89,,,,,,,,,,,0.04,,,4.54,,0.89,,,,,maybe
BALB/c,4.50E+04,Intranasal,Lung,3,88.3,11.67,,,,,,,,,,,6.16,,,11.5,,,,,,,,,,,0.03,,,4.36,,2.83,,,,,maybe
BALB/c,4.50E+06,Intranasal,Lung,1,84.5,15.13,,,,,,,,,,,11.9,,,21.27,,,,,,,,,,,0.01,,,1.37,,1.57,,,,,Yes
BALB/c,4.50E+06,Intranasal,Lung,2,84.5,15.2,,,,,,,,,,,11.24,,,22.66,,,,,,,,,,,0.01,,,1.35,,1.53,,,,,Yes
BALB/c,4.50E+06,Intranasal,Lung,3,87.7,11.79,,,,,,,,,,,11.83,,,0.34,,,,,,,,,,,0.01,,,1.22,,0.73,,,,,Yes
C57BL/6,PBS,Intramuscular ,Spleen,1,86.89,11.07,,,,,,,,,,,11.01,,,1.2,,,,,,,,0.03,0.46,0.22,65.75,,,0.39,,0.63,0.02,,,,no
