Plasmablasts / Plasma cells,"['Singlets/WBC/Lymph/CD19/CD27/PB,Freq. of,CD19', 'Singlets/WBC/Lymph/CD19/CD27/PB/CD86,Freq. of Parent', 'Sum of Plasma cells and Plasmablast', 'WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmablast,Freq. of,CD19+', 'sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmablast,Freq. of,CD19+', 'sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/Plasmacell,Freq. of,CD19+']"
Plasmacytoid DCs (pDC),"['Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40-,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/pDC,Freq. of,WBC', 'Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2+,Freq. of,pDC', 'Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40+,Freq. of,pDC', 'Singlets/WBC/Lymph/Lin1-DR+/pDC/CD86+,Freq. of,pDC', 'Singlets/WBC/Lymph/Lin1-DR+/pDC/CD86-,Freq. of Parent', 'Lin1-, HLA-DR+, BDCA2+, CD11c-', 'Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86-', 'Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86+', 'Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+', 'Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2-', 'Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40+', 'Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40-', 'sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q8: CD45RA,, CD4,Freq. of,Q3: BDCA-2+', 'sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q7: CD45RA+,, CD4,Freq. of,Q3: BDCA-2+', 'sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q6: CD45RA+,, CD4+,Freq. of,Q3: BDCA-2+', 'sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q5: CD45RA,, CD4+,Freq. of,Q3: BDCA-2+', 'sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2-,Freq. of,Q3: BDCA-2+', 'sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+', 'sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+,Freq. of,sWBC', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/CD2-,Freq. of,Q3: BDCA-2+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+,Freq. of,sWBC', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q4: CD2-,, CD86-,Freq. of,Q3: BDCA-2+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q3: CD2+,, CD86-,Freq. of,Q3: BDCA-2+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q2: CD2+,, CD86+,Freq. of,Q3: BDCA-2+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q1: CD2-,, CD86+,Freq. of,Q3: BDCA-2+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD86+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD2+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD2-', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD86-']"
T follicular helper (Tfh) cells,"['Singlets/WBC/Lymph/CD3/CD4/TFH/ICOS+,Freq. of,TFH', 'Singlets/WBC/Lymph/CD3/CD4/TFH,Freq. of,CD4', 'Singlets/WBC/Lymph/CD3/CD4/TFH/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/2/ICOS+,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/2/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/1/ICOS+,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/2,Freq. of,TFH', 'Singlets/WBC/Lymph/CD3/CD4/TFH/1,Freq. of,TFH', 'Singlets/WBC/Lymph/CD3/CD4/TFH/1-17,Freq. of,TFH', 'Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/ICOS+,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/1/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/17,Freq. of,TFH', 'Singlets/WBC/Lymph/CD3/CD4/TFH/17/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/17/ICOS+,Freq. of Parent', 'CD45+/CD3+/CD4/TFH,Freq. of,CD4', 'CD45+/CD3+/CD4/TFH/1,Freq. of,TFH', 'CD45+/CD3+/CD4/TFH/1/ICOS,Freq. of,1', 'CD45+/CD3+/CD4/TFH/17,Freq. of,TFH', 'CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+,Freq. of,TFH', 'CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+', 'CD45+/CD3+/CD4/TFH/17/ICOS,Freq. of,17', 'CD45+/CD3+/CD4/TFH/ICOS,Freq. of,TFH', 'CD45+/CD3+/CD4/TFH/2/ICOS,Freq. of,2', 'CD45+/CD3+/CD4/TFH/2,Freq. of,TFH', 'sing/CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+,Freq. of,TFH', 'sing/CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+', 'sing/CD45+/CD3+/CD4/TFH/ICOS,Freq. of,TFH', 'sing/CD45+/CD3+/CD4/TFH/2/ICOS,Freq. of Parent', 'sing/CD45+/CD3+/CD4/TFH/2,Freq. of,TFH', 'sing/CD45+/CD3+/CD4/TFH/17/ICOS,Freq. of Parent', 'sing/CD45+/CD3+/CD4/TFH/17,Freq. of,TFH', 'sing/CD45+/CD3+/CD4/TFH/1/ICOS,Freq. of Parent', 'sing/CD45+/CD3+/CD4/TFH/1,Freq. of,TFH', 'sing/CD45+/CD3+/CD4/TFH,Freq. of,CD4']"
NKT cells, "['Singlets/WBC/Lymph/CD3+/CD56,Freq. of,CD3+', 'Singlets/WBC/Lymph/CD3+/CD56/CD27,Freq. of Parent', 'Singlets/WBC/Lymph/CD3+/CD56/CD38,Freq. of Parent']"
Total T cells, "['CD3+', 'Singlet/WBC/Lymph/CD3', 'Singlets/WBC/Lymph/CD3,Freq. of,Lymph', 'Singlets/WBC/Lymph/CD3+,Freq. of,Lymph', 'sing/CD45+/CD3+,Freq. of,CD45+', 'CD45+/CD3+,Freq. of,CD45+']"
Activated T cells, "['CD3+, HLA-DR+', 'Singlets/WBC/Lymph/CD3/DR,Freq. of Parent', 'CD3+, ICOS+', 'Singlet/WBC/Lymph/CD3/ICOS+', 'Singlets/WBC/Lymph/CD3/ICOS+,Freq. of Parent', 'Singlets/WBC/Lymph/CD3+/CD38,Freq. of Parent']"
Memory T cells, "['Singlets/WBC/Lymph/CD3+/CD27,Freq. of Parent']"
Regulatory CD8 T cells (Treg),"['ly/CD3+/CD8+/FoxP3+,Freq. of,CD8+']"
Regulatory CD4 T cells (Treg),"['ly/CD3+/CD4+/FoxP3+,Freq. of,CD4+']"

