Feature,Mean_Cluster1,Mean_Cluster0,Difference,P_Value,Cohens_D,FDR
Age Reported,3.0187500156462193,22.504490557670593,-19.485740542024374,1.0011268534436047e-67,-1.3024849366987394,5.205859637906744e-66
Cohort_AIRFV 2012-13,0.0,0.22641509433962265,-0.22641509433962265,2.345124279911566e-31,-0.5639907764762638,6.0973231277700714e-30
Cohort_AIRFV 2011-12,0.0,0.20943396226415095,-0.20943396226415095,7.604847148968786e-29,-0.5365717266258099,1.3181735058212561e-27
Cohort_NCH-2012-13,0.8125,0.0509433962264151,0.7615566037735849,7.422208883587466e-18,3.184719768189485,7.719097238930964e-17
temra_cd8+_t_cells_baseline,98.15884187040483,26.303997154116775,71.85484471628806,1.3193514351981748e-15,2.8796138230473884,1.1434379105050848e-14
total_/_baseline_pdcs_baseline,11.506386667490005,5.778275471605558,5.7281111958844475,1.218866334730202e-12,1.641825340784658,9.054435629424357e-12
activated_plasmablasts_/_plasma_cells_baseline,7.627411801367998,2.210963928925859,5.41644787244214,5.17438361335962e-12,1.4167231148428787,3.363349348683753e-11
activated_cd4+_helper_t_cells_peak,163.70117104053497,31.76203361654997,131.93913742398502,8.084239942076454e-12,2.7283981066248733,4.3529104398051806e-11
inactive_pdcs_baseline,12.043309047818184,5.852678900068209,6.1906301477499746,8.370981615009963e-12,1.732712065781482,4.3529104398051806e-11
total_/_baseline_pdcs_peak,18.196064181399404,5.345801359389027,12.850262822010377,1.4244691616514499e-11,2.686584849148774,6.172699700489615e-11
inactive_pdcs_peak,18.192712198939702,5.405770656964092,12.78694154197561,2.6347534266588142e-11,2.618059264427856,1.0539013706635257e-10
unspecified_b_cells_baseline,775.3391347290426,245.22329549119482,530.1158392378478,4.9466434266004284e-11,2.1833014463063067,1.8373247013087306e-10
cd8+_t_cells_(other)_peak,947.4571952819824,372.4720051983381,574.9851900836443,7.142909974169158e-11,1.9511595252359166,2.4762087910453083e-10
plasmablasts_/_plasma_cells_peak,40.360708371461776,8.991533233385308,31.369175138076468,1.7936209851133247e-10,1.916498301924985,5.486370072111346e-10
activated_cd4+_helper_t_cells_baseline,180.6851704120636,28.144629800169408,152.5405406118942,2.596922359488485e-10,3.4270251904774858,7.502220149633401e-10
unspecified_b_cells_peak,911.4838841070333,217.4999613348771,693.9839227721562,1.4162138777705718e-09,2.7351619779803515,3.875953770740513e-09
plasmablasts_/_plasma_cells_baseline,47.296623887017546,5.072812495224465,42.22381139179308,6.358674096393946e-09,3.255220224713279,1.653255265062426e-08
classical_monocytes_peak,484.88220856179805,300.2325232261557,184.64968533564235,1.5942728985430838e-07,1.0429708596174292,3.9477233678209695e-07
Gender,0.75,0.36792452830188677,0.38207547169811323,3.649432644271357e-07,0.7973606777906334,8.625931704641389e-07
cd8+_t_cells_(other)_baseline,1023.8564968109131,403.48925120251585,620.3672456083973,7.11533213967233e-07,2.163378270475493,1.6086837880998313e-06
memory_cd4+_t_cells_(other)_baseline,303.6947989463806,210.00523901562698,93.68955993075363,1.0691053685204275e-06,0.98872545114762,2.3163949651275926e-06
nkt-like_cells_baseline,282.1565867347864,57.814440750263884,224.34214598452252,7.688787167031129e-06,1.755368926385564,1.5377574334062258e-05
monocytes_(unspecified)_baseline,425.3295774459839,301.20320690637004,124.12637053961384,0.00027811068076164435,0.7643027529119641,0.0004986812206760519
memory_cd8+_t_cells_(other)_peak,40.13726907968521,20.199713851276258,19.937555228408954,0.0006244186049785126,0.8574298509458114,0.0010474118535123437
activated_cd8+_t_cells_baseline,39.75343228876591,9.375108245003133,30.378324043762774,0.0009511631981478204,1.362387103636283,0.0014988026152632323
central_memory_cd8+_t_cells_(tcm)_baseline,52.73754791770974,28.866229041653437,23.871318876056304,0.003920115864089056,0.5978657033055539,0.005824172140932311
Virus_B/Wisconsin/01/2010,0.2708333333333333,0.09245283018867924,0.1783805031446541,0.00937084948647678,0.5828637087566564,0.01353567148046646
classical_monocytes_baseline,398.83511114120483,319.02178731837006,79.81332382283478,0.014929926705949718,0.5512420904970967,0.020982599694848253
