Population Definition Reported,Normalized_Definition
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40-,Freq. of Parent","CD40-, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD2+,Freq. of Parent","CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD86-,Freq. of Parent","CD86-, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD40+,Freq. of Parent","CD40+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/pDC,Freq. of,WBC","HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD2,Freq. of Parent","CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2+,Freq. of,pDC","CD2+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2,Freq. of Parent","CD2+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40+,Freq. of,pDC","CD40+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD40-,Freq. of Parent","CD40-, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD86+,Freq. of Parent","CD86+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD86+,Freq. of,pDC","CD86+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD86-,Freq. of Parent","CD86-, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3,Freq. of,WBC","BDCA3+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC,Freq. of,WBC","HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
CD14posCD16neg_pmo,"CD14+, CD16-, monocyte"
CD14posCD16pos_CD86_pP,"CD14+, CD16+, CD86+"
CD14negCD16neg_CD86_pP,"CD14-, CD16-, CD86+"
CD14posCD16pos_pmo,"CD14+, CD16+, monocyte"
"Singlets/WBC/mono/CD3-CD19-/mo2/mo3,Freq. of,WBC","CD19-, CD3-, mo2, mo3, monocyte, singlet, WBC"
"Singlets/WBC/mono/CD3-CD19-/mo2/mo3/Q1: CD14,, CD16+,Freq. of,mo3","CD14+, CD16+, CD19-, CD3-, mo2, mo3, monocyte, Q1, singlet, WBC"
CD14posCD16neg_CD86_pP,"CD14+, CD16-, CD86+"
CD14negCD16pos_CD86_pP,"CD14-, CD16+, CD86+"
CD14negCD16neg_pmo,"CD14-, CD16-, monocyte"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD86-,Freq. of Parent","BDCA3+, CD86-, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD40+,Freq. of,BDCA3","BDCA3+, CD40+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD86+,Freq. of,BDCA3","BDCA3+, CD86+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD40-,Freq. of Parent","BDCA3+, CD40-, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD2,Freq. of Parent","BDCA3+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD2+,Freq. of,BDCA3","BDCA3+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD8/ICOS+,Freq. of,CD8","CD3+, CD8+, ICOS+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD8/DR,Freq. of,CD8","CD3+, CD8+, HLA-DR+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/CD27/PB,Freq. of,CD19","CD19+, CD27+, lymphocyte, PB, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD8,Freq. of,CD3","CD3+, CD8+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/ICOS+,Freq. of,TH","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH, WBC"
