Generic_Feature,144,167,180,296,301,314,364,369,372,376,387,522,645
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, ICOS+",None,"ly/CD3+/CD4+/DR,Freq. of,CD4+","Singlets/WBC/Lymph/CD3/CD4/DR,Freq. of Parent","Singlets/WBC/Lymph/CD3/CD4/DR,Freq. of Parent",None,"CD3+, CD4+, CD8-, ICOS+","CD3+, CD4+, CD8-, ICOS+","CD3+, CD4+, CD8-, ICOS+","CD3+, CD4+, CD8-, ICOS+",Singlet/WBC/Lymph/CD3/CD4/ICOS+,None,"CD3+, CD4+, CD8-, ICOS+"
Activated CD8+ T cells,"CD3+, CD4-, CD8+, ICOS+",None,"ly/CD3+/CD8+/DR,Freq. of,CD8+","Singlets/WBC/Lymph/CD3/CD8/DR,Freq. of,CD8","Singlets/WBC/Lymph/CD3/CD8/DR,Freq. of,CD8",None,"CD3+, CD4-, CD8+, ICOS+","CD3+, CD4-, CD8+, ICOS+","CD3+, CD4-, CD8+, ICOS+","CD3+, CD4-, CD8+, ICOS+",Singlet/WBC/Lymph/CD3/CD8/ICOS+,None,"CD3+, CD4-, CD8+, ICOS+"
Activated Classical Monocytes,"CD14+, HLA-DR+, CD16-, CD86+",None,"WBC/2-WBC/lymono/monos/CD14+CD16-/CD40+,Freq. of,CD14+CD16-",CD14pCD16n_CD86_pP,CD14pCD16n_CD86_pP,None,"CD14+, HLA-DR+, CD16-, CD86+","CD14+, HLA-DR+, CD16-, CD86+","CD14+, HLA-DR+, CD16-, CD86+","CD14+, HLA-DR+, CD16-, CD86+","Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD86+",None,"CD14+, HLA-DR+, CD16-, CD86+"
Activated Double Negative B cells,"CD19+, CD3-, CD14-, CD27-, IgD-, CD86+",None,"WBC/CD19+SCC/CD19+/nQ4: CD27,, IgD,Freq. of,CD19+",None,None,None,"CD19+, CD3-, CD14-, CD27-, IgD-, CD86+","CD19+, CD3-, CD14-, CD27-, IgD-, CD86+","CD19+, CD3-, CD14-, CD27-, IgD-, CD86+","CD19+, CD3-, CD14-, CD27-, IgD-, CD86+","Singlet/WBC/Lymph/CD19/CD27-, IgD-/CD86+",None,"CD19+, CD3-, CD14-, CD27-, IgD-, HLADR+"
Activated Intermediate Monocytes,"CD14+, HLA-DR+, CD16+, CD86+",None,"WBC/2-WBC/lymono/monos/CD14+CD16+/CD40+,Freq. of,CD14+CD16+",CD14pCD16p_CD86_pP,CD14pCD16p_CD86_pP,None,"CD14+, HLA-DR+, CD16+, CD86+","CD14+, HLA-DR+, CD16+, CD86+","CD14+, HLA-DR+, CD16+, CD86+","CD14+, HLA-DR+, CD16+, CD86+","Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD86+",None,"CD14+, HLA-DR+, CD16+, CD86+"
Activated Non-classical Monocytes,None,None,"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD40+,Freq. of,CD14dimCD16+",CD14nCD16p_CD86_pP,CD14nCD16p_CD86_pP,None,None,None,None,None,None,None,None
Activated Plasmablasts / Plasma cells,"CD19+, CD3-, CD14-, CD20-, CD86+",None,None,"Singlets/WBC/Lymph/CD19/CD27/PB/CD86,Freq. of Parent","Singlets/WBC/Lymph/CD19/CD27/PB/CD86,Freq. of Parent",None,"CD19+, CD3-, CD14-, CD20-, CD86+","CD19+, CD3-, CD14-, CD20-, CD86+","CD19+, CD3-, CD14-, CD20-, CD86+","CD19+, CD3-, CD14-, CD20-, CD86+","Singlet/WBC/Lymph/CD19/CD19+, CD20-/CD86+",None,"CD19+, CD3-, CD14-, CD20-, HLADR+"
Activated T cells,"CD3+, ICOS+",None,None,"Singlets/WBC/Lymph/CD3/DR,Freq. of Parent","Singlets/WBC/Lymph/CD3/DR,Freq. of Parent",None,"CD3+, ICOS+","CD3+, ICOS+","CD3+, ICOS+","CD3+, ICOS+",Singlet/WBC/Lymph/CD3/ICOS+,None,"CD3+, ICOS+"
Activated Transitional B cells,"CD19+, CD3-, CD14-, CD38+, CD24+, CD86+",None,None,None,None,None,"CD19+, CD3-, CD14-, CD38+, CD24+, CD86+","CD19+, CD3-, CD14-, CD38+, CD24+, CD86+","CD19+, CD3-, CD14-, CD38+, CD24+, CD86+","CD19+, CD3-, CD14-, CD38+, CD24+, CD86+","Singlet/WBC/Lymph/CD19/CD38+, CD24+/CD86+",None,"CD19+, CD3-, CD14-, CD38+, CD24+, HLADR+"
Activated Unspecified B cells,"CD19+, CD3-, CD14-, CD86+",None,None,"Singlets/WBC/Lymph/CD19/CD86,Freq. of,CD19","Singlets/WBC/Lymph/CD19/CD86,Freq. of,CD19",Viable/Singlets/Lymphs/CD3-/B cells,"CD19+, CD3-, CD14-, CD86+","CD19+, CD3-, CD14-, CD86+","CD19+, CD3-, CD14-, CD86+","CD19+, CD3-, CD14-, CD86+",Singlet/WBC/Lymph/CD19/CD86+,None,"CD19+, CD3-, CD14-, CD20+, HLADR+"
