Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List,Normalized_Definition
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40-,Freq. of Parent",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD40-, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD2+,Freq. of Parent",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD86-,Freq. of Parent",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD86-, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD40+,Freq. of Parent",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD40+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/pDC,Freq. of,WBC",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD2,Freq. of Parent",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2+,Freq. of,pDC",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD2+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2,Freq. of Parent",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD2+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40+,Freq. of,pDC",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD40+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD40-,Freq. of Parent",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD40-, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
