Population Definition Reported,Normalized_Definition
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, HLA-DR+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+,HLA-DR+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+"
"Singlets/WBC/Lymph/CD3/CD8/CCR6,Freq. of,CD8","CCR6+, CD3+, CD8+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8/CCR6+,"CCR6+, CD3+, CD8+, lymphocyte, singlet, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD11b+,Freq. of,CD14dimCD16+","CD11b+, CD14+, CD16+, CD86+, monocyte, singlet, WBC"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD11b+,Freq. of,CD14+CD16+","CD11b+, CD14+, CD16+, CD86+, monocyte, singlet, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD11b+,Freq. of,CD14+CD16+","CD11b+, CD14+, CD16+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD11b+,Freq. of,CD14dimCD16+","CD11b+, CD14+, CD16+, lymphocyte, monocyte, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q1: CD16,, CD11b+,Freq. of,Neutr","CD11b+, CD16+, CD45+, gran, neutro, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q4: CD16,, CD11b,Freq. of,Neutr","CD11b+, CD16+, CD45+, gran, neutro, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q3: CD16+,, CD11b,Freq. of,Neutr","CD11b+, CD16+, CD45+, gran, neutro, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+,Freq. of,Neutr","CD11b+, CD16+, CD45+, gran, neutro, WBC"
"CD16lo, CD11b+ gran","CD11b+, CD16+, gran"
"CD16hi, CD11b+ gran","CD11b+, CD16+, gran"
"CD16hi, CD11b- gran","CD11b-, CD16+, gran"
"CD16lo, CD11b- gran","CD11b-, CD16+, gran"
"Singlets/WBC/Lymph/CD19/CD27/CD138/CD86,Freq. of Parent","CD138+, CD19+, CD27+, CD86+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD19/CD27+/CD138+/CD86+,"CD138+, CD19+, CD27+, CD86+, lymphocyte, singlet, WBC"
