Population Definition Reported,Normalized_Definition
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, HLA-DR+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+,HLA-DR+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+"
"Singlets/WBC/Lymph/CD19,Freq. of,Lymph","CD19, WBC, lymphocyte, singlet"
Singlet/WBC/Lymph/CD19,"CD19, WBC, lymphocyte, singlet"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-,HLA-DR+","CD3+, CD4+, CD45RA-, CD8-, CXCR5-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, HLA-DR+","CD3+, CD4+, CD45RA-, CD8-, CXCR5-, HLA-DR+"
"Singlets/WBC/Lymph/CD3/CD4/ICOS+,Freq. of,CD3","CD3, CD4, ICOS+, WBC, lymphocyte, singlet"
Singlet/WBC/Lymph/CD3/CD4/ICOS+,"CD3, CD4, ICOS+, WBC, lymphocyte, singlet"
"Singlets/WBC/Lymph/CD3/CD4,Freq. of,CD3","CD3, CD4, WBC, lymphocyte, singlet"
Singlet/WBC/Lymph/CD3/CD4,"CD3, CD4, WBC, lymphocyte, singlet"
"Singlets/WBC/Lymph/CD3/CD8/ICOS+,Freq. of,CD8","CD3, CD8, ICOS+, WBC, lymphocyte, singlet"
Singlet/WBC/Lymph/CD3/CD8/ICOS+,"CD3, CD8, ICOS+, WBC, lymphocyte, singlet"
"Singlets/WBC/Lymph/CD3/CD8,Freq. of,CD3","CD3, CD8, WBC, lymphocyte, singlet"
Singlet/WBC/Lymph/CD3/CD8,"CD3, CD8, WBC, lymphocyte, singlet"
"Singlets/WBC/Lymph/CD3/ICOS+,Freq. of Parent","CD3, ICOS+, WBC, lymphocyte, singlet"
Singlet/WBC/Lymph/CD3/ICOS+,"CD3, ICOS+, WBC, lymphocyte, singlet"
Singlet/WBC/Lymph/CD3,"CD3, WBC, lymphocyte, singlet"
"Singlets/WBC/Lymph/CD3,Freq. of,Lymph","CD3, WBC, lymphocyte, singlet"
