Intermediate_Population,Lista_de_Definicoes
B cells (Other),"['Singlets/WBC/Lymph/CD19,Freq. of,Lymph', 'Singlets/WBC/Lymph/CD19/CD27,Freq. of,CD19', 'Singlets/WBC/Lymph/CD19/CD27/CD138,Freq. of,CD19', 'Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56/CD86,Freq. of Parent', 'Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+/CD86,Freq. of Parent', 'Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+,Freq. of,CD19', 'Singlets/WBC/Lymph/CD19/CD86,Freq. of,CD19', 'Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56,Freq. of,CD19', 'Singlets/WBC/Lymph/CD19/CD27/CD138/CD86,Freq. of Parent', 'CD19+, CD3-, CD14-, CD20+', 'CD19+, CD3-, CD14-', 'CD19+, CD3-, CD14-, CD27-, IgD-', 'CD19+, CD3-, CD14-, CD38+, CD20-, CD86+', 'CD19+, CD3-, CD14-, CD38+, CD24+', 'CD19+, CD3-, CD14-, CD38+, CD24+, CD86+', 'CD19+, CD3-, CD14-, CD27+, CD138+, CD86+', 'CD19+, CD3-, CD14-, CD86+', 'CD19+, CD3-, CD14-, CD27+, CD138+', 'CD19+, CD3-, CD14-, CD20-, CD86+', 'CD19+, CD3-, CD14-, CD20-', 'CD19+, CD3-, CD14-, CD20+, CD86+', 'CD19+, CD3-, CD14-, CD38+, CD20-', 'CD19+, CD3-, CD14-, CD27+', 'CD19+, CD3-, CD14-, CD27-, IgD-, CD86+', 'Singlet/CD45+/B lym CD19+/Q3: CD19+,, CD20-,Freq. of,B lym CD19+', 'Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+/CD38+/CD138+,Freq. of,B lym CD27+', 'Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+/CD38+,Freq. of,Q3: CD19+, CD20-', 'Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+,Freq. of,Q3: CD19+, CD20-', 'Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD24+,,CD38+,Freq. of,Q2: CD19+, CD20+', 'Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+,Freq. of,B lym CD19+', 'Singlet/CD45+/B lym CD19+,Freq. of,CD45+', 'Singlet/WBC/Lymph/CD19', 'Singlet/WBC/Lymph/CD19/CD27+/CD138+/CD86+', 'Singlet/WBC/Lymph/CD19/CD19+, CD20-/CD86+', 'Singlet/WBC/Lymph/CD19/CD19+, CD20-', 'Singlet/WBC/Lymph/CD19/CD19+, CD20+/CD86+', 'Singlet/WBC/Lymph/CD19/CD19+, CD20+', 'Singlet/WBC/Lymph/CD19/CD27-, IgD-', 'Singlet/WBC/Lymph/CD19/CD27-, IgD-/CD86+', 'Singlet/WBC/Lymph/CD19/CD38+, CD20-', 'Singlet/WBC/Lymph/CD19/CD38+, CD20-/CD86+', 'Singlet/WBC/Lymph/CD19/CD38+, CD24+', 'Singlet/WBC/Lymph/CD19/CD38+, CD24+/CD86+', 'Singlet/WBC/Lymph/CD19/CD86+', 'Singlet/WBC/Lymph/CD19/CD27+/CD138+', 'Singlet/WBC/Lymph/CD19/CD27+', 'WBC/CD19+SCC/CD19+/nQ3: CD19+,, CD20,Freq. of,CD19+', 'WBC/CD19+SCC/CD19+/n transitional,Freq. of,CD19+', 'WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmacell,Freq. of,CD19+', 'WBC/CD19+SCC/CD19+,Freq. of,WBC', 'WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD20+,Freq. of,CD19+', 'WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+,Freq. of,CD19+', 'sing/WBC/CD19+SCC/CD19+/nQ3: CD19+,, CD20-,Freq. of,CD19+', 'sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+,Freq. of,CD19+', 'sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD20+,Freq. of,CD19+', 'sing/WBC/CD19+SCC/CD19+/nCD19hi,Freq. of,CD19+', 'sing/WBC/CD19+SCC/CD19+/n transitional,Freq. of Parent', 'sing/WBC/CD19+SCC/CD19+,Freq. of,WBC', 'sing/WBC/CD19+SCC/CD19+/nQ4: CD27-,, IgD-,Freq. of,CD19+', 'CD19+, CD3-, CD14-, CD38+, CD24+, HLADR+', 'CD19+, CD3-, CD14-, CD38+, CD20-, HLADR+', 'CD19+, CD3-, CD14-, CD27-, IgD-, HLADR+', 'CD19+, CD3-, CD14-, CD27+, CD138+, HLADR+', 'CD19+, CD3-, CD14-, CD27+, HLADR+', 'CD19+, CD3-, CD14-, CD20-, HLADR+', 'CD19+, CD3-, CD14-, CD20+, HLADR+']"
CD4+ Helper T cells (Th subsets),"['Singlets/WBC/Lymph/CD3/CD4/TH/ICOS+,Freq. of,TH', 'Singlets/WBC/Lymph/CD3/CD4/TH/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TH,Freq. of,CD4', 'Singlets/WBC/Lymph/CD3/CD4/TH/1-17/ICOS+,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TH/1-17,Freq. of,TH', 'Singlets/WBC/Lymph/CD3/CD4/TH/1/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TH/1/ICOS+,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TH/1,Freq. of,TH', 'Singlets/WBC/Lymph/CD3/CD4/TH/17,Freq. of,TH', 'Singlets/WBC/Lymph/CD3/CD4/TH/17/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TH/17/ICOS+,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TH/2,Freq. of,TH', 'Singlets/WBC/Lymph/CD3/CD4/TH/2/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TH/2/ICOS+,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TH/1-17/DR,Freq. of Parent']"
CD4+ T cells (Other),"['Singlets/WBC/Lymph/CD3/CD4/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4,Freq. of,CD3', 'Singlets/WBC/Lymph/CD3/CD4/ICOS+,Freq. of,CD3', 'CD3+ AND CD4+ AND small lymphocyte', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, ICOS+', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, ICOS+', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, ICOS+', 'CD3+, CD4+, CD8-, ICOS+', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-, ICOS+', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, ICOS+', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, ICOS+', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, ICOS+', 'CD3+, CD4+, CD8-', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-, HLA-DR+', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, HLA-DR+', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, HLA-DR+', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, HLA-DR+', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, HLA-DR+', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, HLA-DR+', 'CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, HLA-DR+', 'CD3+, CD4+, CD8-, HLA-DR+', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, HLA-DR+', 'CD45+/CD3+/CD4,Freq. of,CD45+', 'ly/CD3+/CD4+,Freq. of,ly', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6-', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6+', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6+/ICOS+', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6-', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6-/ICOS+', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/ICOS+', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6+', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6+/ICOS+', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6-', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6-/ICOS+', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6+/ICOS+', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6-/ICOS+', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6-', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6-/ICOS+', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/ICOS+', 'Singlet/WBC/Lymph/CD3/CD4/ICOS+', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6+', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6+', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-', 'Singlet/WBC/Lymph/CD3/CD4', 'Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6+/ICOS+', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+,HLA-DR+', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-,HLA-DR+', 'CD3+, CD4+, CXCR5+, CD45RA-', 'CD3+, CD4+, CXCR5+, CD45RA-, CXCR3+, CCR6-', 'CD3+, CD4+, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+', 'CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6+', 'CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+', 'CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6-', 'CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+', 'CD3+, CD4+, CXCR5+, CD45RA-, ICOS+', 'CD3+, CD4+', 'CD45+/CD3+/CD4/ICOS,Freq. of,CD4', 'ly/CD3+/CD4+/CD25+,Freq. of,CD4+', 'ly/CD3+/CD4+/CTLA4+,Freq. of,CD4+', 'CD45+/CD3+/CD4/Teff,Freq. of,CD4', 'sing/CD45+/CD3+/CD4/Teff,Freq. of,CD4', 'sing/CD45+/CD3+/CD4+/CD127loCD25+,Freq. of,CD4+', 'ly/CD3+/CD4+/bcl2,Freq. of,CD4+', 'ly/CD3+/CD4+/Q8: K1-67,, bcl2di,Freq. of,CD4+', 'ly/CD3+/CD4+/Q7: K1-67+,, bcl2di,Freq. of,CD4+', 'ly/CD3+/CD4+/Q6: K1-67+,, bcl2bri,Freq. of,CD4+', 'ly/CD3+/CD4+/Q5: K1-67,, bcl2bri,Freq. of,CD4+', 'ly/CD3+/CD4+/Q4: HLA-DR,, CD38,Freq. of,CD4+', 'ly/CD3+/CD4+/Q3: HLA-DR+,, CD38,Freq. of,CD4+', 'ly/CD3+/CD4+/Q2: HLA-DR+,, CD38+,Freq. of,CD4+', 'ly/CD3+/CD4+/Q1: HLA-DR,, CD38+,Freq. of,CD4+', 'ly/CD3+/CD4+/Ki67,Freq. of,CD4+', 'ly/CD3+/CD4+/GranB,Freq. of,CD4+', 'ly/CD3+/CD4+/DR,Freq. of,CD4+', 'ly/CD3+/CD4+/CD38bri,Freq. of,CD4+', 'sing/CD45+/CD3+/CD4/ICOS,Freq. of,CD4', 'sing/CD45+/CD3+/CD4,Freq. of,CD45+', 'sing/CD45+/CD3+/CD4+,Freq. of,CD45+', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, HLA-DR+', 'CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, HLA-DR+']"
CD8+ T cells (Other),"['Singlets/WBC/Lymph/CD3/CD8/ICOS+,Freq. of,CD8', 'Singlets/WBC/Lymph/CD3/CD8/DR,Freq. of,CD8', 'Singlets/WBC/Lymph/CD3/CD8,Freq. of,CD3', 'Singlets/WBC/Lymph/CD3/CD8/CXCR5,Freq. of,CD8', 'Singlets/WBC/Lymph/CD3/CD8/CXCR3,Freq. of,CD8', 'Singlets/WBC/Lymph/CD3/CD8/CCR6,Freq. of,CD8', 'CD3+ AND CD8+ AND small lymphocyte', 'CD3+, CD4-, CD8+', 'CD3+, CD4-, CD8+, ICOS+', 'CD3+, CD4-, CD8+, CXCR5+', 'CD3+, CD4-, CD8+, CXCR3+', 'CD3+, CD4-, CD8+, CCR6+', 'CD3+, CD4-, CD8+, HLA-DR+', 'ly/CD3+/CD8+,Freq. of,ly', 'Singlet/WBC/Lymph/CD3/CD8', 'Singlet/WBC/Lymph/CD3/CD8/CCR6+', 'Singlet/WBC/Lymph/CD3/CD8/CXCR3+', 'Singlet/WBC/Lymph/CD3/CD8/CXCR5+', 'Singlet/WBC/Lymph/CD3/CD8/ICOS+', 'CD3+, CD8+', 'CD45+/CD3+/CD8,Freq. of,CD45+', 'CD45+/CD3+/CD8/ICOS,Freq. of,CD8', 'ly/CD3+/CD8+/CD25+,Freq. of,CD8+', 'ly/CD3+/CD8+/CTLA4+,Freq. of,CD8+', 'ly/CD3+/CD8+/Ki67,Freq. of,CD8+', 'sing/CD45+/CD3+/CD8,Freq. of,CD45+', 'sing/CD45+/CD3+/CD8/ICOS,Freq. of,CD8', 'sing/CD45+/CD3+/CD8/Teff,Freq. of,CD8', 'ly/CD3+/CD8+/Q4: HLA-DR,, CD38,Freq. of,CD8+', 'ly/CD3+/CD8+/Q2: HLA-DR+,, CD38+,Freq. of,CD8+', 'ly/CD3+/CD8+/Q3: HLA-DR+,, CD38,Freq. of,CD8+', 'ly/CD3+/CD8+/bcl2,Freq. of,CD8+', 'ly/CD3+/CD8+/CD38bri,Freq. of,CD8+', 'ly/CD3+/CD8+/Q8: K1-67,, bcl2di,Freq. of,CD8+', 'ly/CD3+/CD8+/Q5: K1-67,, bcl2bri,Freq. of,CD8+', 'ly/CD3+/CD8+/GranB,Freq. of,CD8+', 'ly/CD3+/CD8+/Q6: K1-67+,, bcl2bri,Freq. of,CD8+', 'ly/CD3+/CD8+/Q7: K1-67+,, bcl2di,Freq. of,CD8+', 'ly/CD3+/CD8+/DR,Freq. of,CD8+', 'ly/CD3+/CD8+/Q1: HLA-DR,, CD38+,Freq. of,CD8+']"
Classical Monocytes,"['CD14posCD16neg_pmo', 'CD14posCD16neg_CD86_pP', 'CD14lo, HLA-DR+, CD16-', 'CD14+, HLA-DRlo, CD16-', 'CD14+, HLA-DRhi, CD16-', 'CD14+, HLA-DR+, CD16-, SLAN-', 'CD14+, HLA-DR+, CD16-, SLAN+', 'CD14+, HLA-DR+, CD16-, CX3CR1-', 'CD14+, HLA-DR+, CD16-, CX3CR1+', 'CD14+, HLA-DR+, CD16-, CD86-', 'CD14+, HLA-DR+, CD16-, CD86+', 'CD14+, HLA-DR+, CD16-, CD11b-', 'CD14+, HLA-DR+, CD16-, CD11b+', 'CD14+, HLA-DR+, CD16-', 'CD14+, HLA-DR+, CD16-, CD62L+', 'CD14+, HLA-DR+, CD16-, CD62L-', 'WBC/2-WBC/lymono/monos/CD14+CD16-,Freq. of,monos', 'WBC/2-WBC/lymono/monos/CD14+CD16-/CD11b+,Freq. of,CD14+CD16-', 'WBC/2-WBC/lymono/monos/CD14+CD16-/CD40+,Freq. of,CD14+CD16-', 'WBC/2-WBC/lymono/monos/CD14+CD16-/CD62L+,Freq. of,CD14+CD16-', 'WBC/2-WBC/lymono/monos/CD14+CD16-/CD86+,Freq. of,CD14+CD16-', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-,Freq. of,2-CD14+', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD11b+,Freq. of,CD14+CD16-', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD62L+,Freq. of,CD14+CD16-', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD40+,Freq. of,CD14+CD16-', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/dn,Freq. of,2-CD14+', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD86+,Freq. of,CD14+CD16-', 'Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD11b-', 'Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD11b+', 'Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD86+', 'Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD86-', 'Singlet/WBC/Mono/CD14+/HLADR/CD16-, CX3CR1+', 'Singlet/WBC/Mono/CD14+/HLADR/CD16-, CX3CR1-', 'Singlet/WBC/Mono/CD14+/HLADR/CD16-, HLADR+', 'Singlet/WBC/Mono/CD14+/HLADR/CD16-, HLADR-', 'Singlet/WBC/Mono/CD14+/HLADR/CD16-, SLAN+', 'Singlet/WBC/Mono/CD14+/HLADR/CD16-, SLAN-', 'Singlet/WBC/Mono/CD14+/HLADR/CD14-, CD16-', 'Singlet/WBC/Mono/CD14+/HLADR/CD14+, CD16-']"
Dendritic Cells (Pan-DC),"['Lin1-, HLA-DR+']"
Granulocytes,"['grans', 'CD16- grans', 'CD16+ grans', 'CD16+, CD62L- grans', 'CD16+ neutrophil', 'WBC/2-WBC/2-grans/Neu-CD45/Neutr,Freq. of,2-WBC', 'WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+/CD62L+,Freq. of,Q2: CD16+, CD11b+', 'WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+/CD62L-,Freq. of,Q2: CD16+, CD11b+', 'WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q3: CD16+,, CD11b,Freq. of,Neutr', 'WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q4: CD16,, CD11b,Freq. of,Neutr', 'WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q1: CD16,, CD11b+,Freq. of,Neutr', 'WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+,Freq. of,Neutr', 'sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q3: CD16+,, CD11b-,Freq. of,Neutr', 'sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q4: CD16-,, CD11b-,Freq. of,Neutr', 'sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr,Freq. of,2-WBC', 'sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q1: CD16-,, CD11b+,Freq. of,Neutr', 'sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+,Freq. of,Neutr', 'CD16hi, CD11b+ grans', 'CD16lo, CD11b- grans', 'CD16lo, CD11b+ grans', 'CD16hi, CD11b- grans', 'Singlet/WBC/Neutro/CD16+', 'Singlet/WBC/Neutro', 'Singlet/WBC/Neutro/CD16-']"
Intermediate Monocytes,"['CD14posCD16pos_CD86_pP', 'CD14posCD16pos_pmo', 'Singlets/WBC/mono/CD3-CD19-/mo2/mo3,Freq. of,WBC', 'Singlets/WBC/mono/CD3-CD19-/mo2/mo3/Q1: CD14,, CD16+,Freq. of,mo3', 'CD14lo, HLA-DR+, CD16+', 'CD14+, HLA-DRlo, CD16+', 'CD14+, HLA-DRhi CD16+', 'CD14+, HLA-DR+, CD16+, SLAN-', 'CD14+, HLA-DR+, CD16+, SLAN+', 'CD14+, HLA-DR+, CD16+, CX3CR1-', 'CD14+, HLA-DR+, CD16+, CX3CR1+', 'CD14+, HLA-DR+, CD16+, CD86-', 'CD14+, HLA-DR+, CD16+, CD86+', 'CD14+, HLA-DR+, CD16+, CD11b-', 'CD14+, HLA-DR+, CD16+, CD11b+', 'CD14+, HLA-DR+, CD16+', 'CD14+, HLA-DR+, CD16+, CD62L+', 'CD14+, HLA-DR+, CD16+, CD62L-', 'WBC/2-WBC/lymono/monos/CD14+CD16+,Freq. of,monos', 'WBC/2-WBC/lymono/monos/CD14+CD16+/CD11b+,Freq. of,CD14+CD16+', 'WBC/2-WBC/lymono/monos/CD14+CD16+/CD40+,Freq. of,CD14+CD16+', 'WBC/2-WBC/lymono/monos/CD14+CD16+/CD62L+,Freq. of,CD14+CD16+', 'WBC/2-WBC/lymono/monos/CD14+CD16+/CD86+,Freq. of,CD14+CD16+', 'WBC/2-WBC/lymono/monos/CD14dimCD16+,Freq. of,monos', 'WBC/2-WBC/lymono/monos/CD14dimCD16+/CD11b+,Freq. of,CD14dimCD16+', 'WBC/2-WBC/lymono/monos/CD14dimCD16+/CD40+,Freq. of,CD14dimCD16+', 'WBC/2-WBC/lymono/monos/CD14dimCD16+/CD62L+,Freq. of,CD14dimCD16+', 'WBC/2-WBC/lymono/monos/CD14dimCD16+/CD86+,Freq. of,CD14dimCD16+', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD11b+,Freq. of,CD14+CD16+', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+,Freq. of,2-CD14+', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD62L+,Freq. of,CD14+CD16+', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD40+,Freq. of,CD14+CD16+', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD86+,Freq. of,CD14+CD16+', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+,Freq. of,2-CD14+', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD86+,Freq. of,CD14dimCD16+', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD62L+,Freq. of,CD14dimCD16+', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD40+,Freq. of,CD14dimCD16+', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD11b+,Freq. of,CD14dimCD16+', 'Singlet/WBC/Mono/CD14+/HLADR/CD16+, SLAN-', 'Singlet/WBC/Mono/CD14+/HLADR/CD16+, SLAN+', 'Singlet/WBC/Mono/CD14+/HLADR/CD16+, HLADR-', 'Singlet/WBC/Mono/CD14+/HLADR/CD16+, HLADR+', 'Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD86+', 'Singlet/WBC/Mono/CD14+/HLADR/CD16+, CX3CR1-', 'Singlet/WBC/Mono/CD14+/HLADR/CD16+, CX3CR1+', 'Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD86-', 'Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD11b-', 'Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD11b+', 'Singlet/WBC/Mono/CD14+/HLADR/CD14-, CD16+', 'Singlet/WBC/Mono/CD14+/HLADR/CD14+, CD16+']"
Leukocytes (Unspecified),"['Singlet/CD45+,Count']"
Lymphocytes (Unspecified),"['Lymp/CD3-/CD56-CD16+,Freq. of,Lymp']"
