Population Name Reported,count
CD14pCD16p,590
CD14pCD16n,590
CD19,587
TFH,587
CD3,587
CD8,587
CD4,587
TFH2,586
TFH1,586
TFH17,586
CD1c,553
BDCA3,537
pDC_CD40n,489
mDC_CD40n,489
mDC_CD40p,489
pDC_CD40p,489
pDC,489
mDC,489
pDC_CD2p,489
mDC_CD86n,489
pDC_CD86p,489
mDC_CD2n,489
mDC_CD86p,489
pDC_CD2n,489
pDC_CD86n,489
mDC_CD2p,489
CD14nCD16n_CD86,488
CD14pCD16n_CD86,488
mo,488
CD14nCD16p,488
CD14pCD16p_CD86,488
CD14nCD16p_CD86,488
CD14nCD16n,488
BDCA3_CD40p,486
BDCA3_CD86p,486
BDCA3_CD86n,486
BDCA3_CD40n,486
BDCA3_CD2n,486
BDCA3_CD2p,486
CD8_CXCR5,485
TH,485
CD3_DR,485
TFH_ICOS,485
CD3_ICOS,485
CD8_ICOS,485
CD4_ICOS,485
TFH_DR,485
CD8_DR,485
CD4_DR,485
TH_DR,485
TH_ICOS,485
CD86,485
CD3p_CD27,485
CD3p_CD38,485
CD3p_CD56,485
CD3p_CD56_CD27,485
CD19pCD20p,485
CD3p_CD56_CD38,485
CD19pCD20n,485
CD19_CD27p,485
PB,485
CD138,485
CD19pCD20p_CD86p,485
CD19pCD20n_CD86p,485
CD3p,485
NK,485
CD16n_NK,485
CD16p_NK,485
NK_CD27,485
NK_CD38,485
PB_CD86,485
TFH2_DR,484
TFH2_ICOS,484
TFH1_17_DR,484
CD8_CXCR3,484
TH1_ICOS,484
TFH1_17_ICOS,484
TH1_17_DR,484
TH1_17_ICOS,484
TFH1_ICOS,484
TFH1_DR,484
TH2_DR,484
TH17_ICOS,484
TH2_ICOS,484
TH17,484
TH2,484
TH1_17,484
TH1,484
TFH1_17,484
TH1_DR,484
TH17_DR,484
TFH17_DR,484
CD138_CD86,480
CD8_CCR6,477
CD1c_CD40n,451
CD1c_CD2n,451
CD1c_CD2p,451
CD1c_CD40p,451
CD1c_CD86p,451
CD1c_CD86n,451
Viable,410
Viable/Singlets,410
myeloid dendritic cell,363
plasmacytoid dendritic cell,363
ICOS+ T follicular helper cell,363
neutrophil,363
SLAN+ monocyte,363
T cell,363
CD8+ T cell,363
CD4+ T cell,363
T follicular helper cell,363
Viable/Singlets/Lymphs,328
Viable/Singlets/Lymphs/CD3+,328
ICOS+ CD8+ T cell,303
CXCR5+ CD8+ T cell,303
CXCR3+ CD8+ T cell,303
CCR6+ CD8+ T cell,303
ICOS+ Th2 CD4+ T cell,303
ICOS+ Th1/17 CD4+ T cell,303
ICOS+ Th17 CD4+ T cell,303
Th17 CD4+ T cell,303
Th2 CD4+ T cell,303
Th1/17 CD4+ T cell,303
CD86+ myeloid dendritic cell,303
CD1c+ myeloid dendritic cell,303
CD2- CD1c+ myeloid dendritic cell,303
CD2+ CD1c+ myeloid dendritic cell,303
CD86+ CD1c+ myeloid dendritic cell,303
CD86- CD1c+ myeloid dendritic cell,303
BDCA3+ myeloid dendritic cell,303
CD2- BDCA3+ myeloid dendritic cell,303
CD2+ BDCA3+ myeloid dendritic cell,303
CD86+ BDCA3+ myeloid dendritic cell,303
CD86- BDCA3+ myeloid dendritic cell,303
monocyte,303
CD40+ monocyte,303
CD14lo CD16+ monocyte,303
CD16+ monocyte,303
CD16- monocyte,303
CD86- myeloid dendritic cell,303
CD2+ myeloid dendritic cell,303
CX3CR1+ CD16- monocyte,303
CD2- myeloid dendritic cell,303
B cell,303
CD27+ B cell,303
CD138+ B cell,303
plasmablast,303
transitional B cell,303
naive B cell,303
IgD+ memory B cell,303
IgD- memory B cell,303
IgD- CD27- B cell,303
CD20+ B cell,303
CD20- B cell,303
ICOS+ Th1 CD4+ T cell,303
CD2+ plasmacytoid dendritic cell,303
CD86+ plasmacytoid dendritic cell,303
CD86- plasmacytoid dendritic cell,303
CD14lo CD16- monocyte,303
CD2- plasmacytoid dendritic cell,303
CX3CR1+ CD16+ monocyte,303
ICOS+ Tfh1/17 CD4+ T cell,303
eosinophil,303
ICOS+ T cell,303
ICOS+ CD4+ T cell,303
Tfh1 CD4+ T cell,303
ICOS+ Tfh1 CD4+ T cell,303
Tfh1/17 CD4+ T cell,303
Tfh17 CD4+ T cell,303
SLAN- CD16- monocyte,303
ICOS+ Tfh17 CD4+ T cell,303
Tfh2 CD4+ T cell,303
ICOS+ Tfh2 CD4+ T cell,303
T helper cell,303
CX3CR1- CD16+ monocyte,303
Th1 CD4+ T cell,303
QCGran,303
ICOS+ T helper cell,303
SLAN- CD16+ monocyte,303
CX3CR1- CD16- monocyte,303
HLA-DRhi CD16- monocyte,303
HLA-DRhi CD16+ monocyte,303
HLA-DRlo CD16+ monocyte,303
HLA-DRlo CD16- monocyte,303
CD11b+ CD16+ monocyte,303
CD11b+ CD16- monocyte,303
CD11b- CD16- monocyte,303
