Normalized_Definition,Intermediate_Population
"CD40-, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC",Myeloid DCs (Unspecified)
"CD86-, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC",Myeloid DCs (Unspecified)
"CD40+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC",Myeloid DCs (Unspecified)
"HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD2+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD40+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD40-, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC",Myeloid DCs (Unspecified)
"CD86+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC",Myeloid DCs (Unspecified)
"CD86+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD86-, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD141+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC",Myeloid DCs (Unspecified)
"CD14+, CD16-, monocyte",Classical Monocytes
"CD14+, CD16+, CD86+",Unclassified / Potential Error
"CD14-, CD16-, CD86+",Unclassified / Potential Error
"CD14+, CD16+, monocyte",Intermediate Monocytes
"CD14+, CD16+, CD19-, CD3-, monocyte, singlet, WBC",Intermediate Monocytes
"CD14+, CD16-, CD86+",Unclassified / Potential Error
"CD14-, CD16+, CD86+",Unclassified / Potential Error
"CD14-, CD16-, monocyte",Monocytes (Unspecified)
"CD141+, CD86-, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD141+, CD40+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD141+, CD86+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD141+, CD40-, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD141+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD3+, CD8+, ICOS+, lymphocyte, singlet, WBC",CD8+ T cells (Other)
"CD3+, CD8+, HLA-DR+, lymphocyte, singlet, WBC",CD8+ T cells (Other)
"CD19+, CD27+, lymphocyte, plasmablast, singlet, WBC",Plasmablasts / Plasma cells
"CD3+, CD8+, lymphocyte, singlet, WBC",CD8+ T cells (Other)
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TH, WBC",CD4+ Helper T cells (Th subsets)
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH, WBC",CD4+ Helper T cells (Th subsets)
"CD19+, lymphocyte, singlet, WBC",B cells (Other)
"CD19+, CD27+, lymphocyte, singlet, WBC",B cells (Other)
"CD138+, CD19+, CD27+, lymphocyte, singlet, WBC",B cells (Other)
"CD3-, lymphocyte, NK, singlet, WBC",NK cells
