Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List
CD45+CD3+CD4+CD8-CD27+,percentage,735,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
"singlet, CD3-, viable[live/dead stain], CD56+",percentile,609,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain]",percentile,609,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain]",percentile,609,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-",percentile,609,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+",percentile,609,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain]",cells/ul,594,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+",cells/ul,594,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-",cells/ul,594,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+",cells/ul,594,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
CD45+CD3+CD4+CD8-TNFa+,percentage,490,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-TNFa+,percentage,490,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD86+,Freq. of,pDC",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40-,Freq. of Parent",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40+,Freq. of,pDC",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2,Freq. of Parent",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2+,Freq. of,pDC",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/pDC,Freq. of,WBC",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD86-,Freq. of Parent",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD86+,Freq. of Parent",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD40-,Freq. of Parent",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
