Population Name Reported,count
NA &,17570
T: central memory CD4+ T cell & CD161lo CD38lo CD127lo,8808
T: Treg & CD38lo HLADRlo CD27lo,8808
T: Treg & CD38lo HLADRlo CD27hi,8808
T: Treg & CD38hi,8808
T: naive CD4+ T cell & CD38lo,8808
T: naive CD4+ T cell & CD38hi CD127lo CD24lo,8808
T: effector memory CD4+ T cell & CD161lo CD127hi,8808
T: effector memory CD4+ T cell & CD161hi,8808
T: EMRA CD4+ T cell &,8808
T: effector memory CD4+ T cell & CD161lo CD127lo,8808
T: central memory CD4+ T cell & CD161lo CD38lo CD127hi,8808
B: naive B cell & CD1clo IgDlo,8808
T: central memory CD4+ T cell & CD161lo CD38hi CD127lo,8808
B: naive B cell & CD1clo IgDhi CD123hi,8808
B: naive B cell & CD1clo IgDhi CD123lo,8808
B: naive B cell & CD1chi,8808
B: plasmablast &,8808
B: transitional B cell &,8808
T: central memory CD4+ T cell & CD161hi CD38lo CD127hi,8808
T: CD4-CD8- T cell &,8796
T: naive CD8+ T cell & CD38hi CD127lo CD141lo,8786
T: central memory CD8+ T cell & CD38hi,8786
T: central memory CD8+ T cell & CD38lo HLADRlo CD161hi,8786
T: central memory CD8+ T cell & CD38lo HLADRlo CD161lo,8786
T: EMRA CD8+ T cell & CD161hi,8786
T: EMRA CD8+ T cell & CD161lo CD38lo,8786
T: effector memory CD8+ T cell & CD161hi,8786
T: effector memory CD8+ T cell & CD161lo HLADRhi,8786
T: effector memory CD8+ T cell & CD161lo HLADRlo CD38lo,8786
T: EMRA CD8+ T cell & CD161lo CD38hi,8786
T: NK T cell & CD161lo CD8lo CD38lo,8786
M: CD14+CD16+ monocyte &,8786
NK: CD16+ CD56+  NK cell & CD8hi CD161lo,8786
NK: CD16+ CD56+  NK cell & CD8hi CD161hi,8786
M: CD14-CD16+ monocyte &,8786
M: CD14+CD16- monocyte & CD66blo CD1clo HLADRlo,8786
M: CD14+CD16- monocyte & CD66blo CD1clo HLADRhi,8786
NK: CD16- CD56bright NK cell &,8786
M: CD14+CD16- monocyte & CD66blo CD1chi,8786
T: gd T cell & CD56hi,8786
T: NK T cell & CD161hi,8786
T: gd T cell & CD56lo CD161hi,8786
T: NK T cell & CD161lo CD8hi,8786
T: gd T cell & CD56lo CD161lo,8786
B: IgD- memory B cell &,8784
T: naive CD4+ T cell & CD38hi CD127hi CD24lo,8784
NK: CD16+ CD56+  NK cell & CD8lo CD161hi CD38hi,8762
NK: CD16+ CD56+  NK cell & CD8lo CD161lo,8762
T: naive CD8+ T cell & CD38lo CD127lo,8762
M: CD14+CD16- monocyte & CD66bhi,8738
G: neutrophil/eosinophil &,8738
G: basophil &,8736
T: central memory CD4+ T cell & CD161hi CD38lo CD127lo,8736
T: central memory CD8+ T cell & CD38lo HLADRhi,8690
T: naive CD8+ T cell & CD38hi CD127hi,8618
DC: Type 2 dendritic cell &,8594
T: Treg & CD38lo HLADRhi,8592
T: naive CD8+ T cell & CD38lo CD127hi,8570
T: central memory CD4+ T cell & CD161hi CD38hi,8544
T: effector memory CD8+ T cell & CD161lo HLADRlo CD38hi,8450
DC: plasmacytoid dendritic cell &,8378
B: IgD+ memory B cell &,8280
I: innate lymphoid cell &,7706
T: central memory CD4+ T cell & CD161lo CD38hi CD127hi,7560
T: naive CD8+ T cell & CD38hi CD127lo CD141hi,7274
DC: Type 1 dendritic cell &,6674
T: naive CD4+ T cell & CD38hi CD127lo CD24hi,6624
T: naive CD4+ T cell & CD38hi CD127hi CD24hi,6120
T: NK T cell & CD161lo CD8lo CD38hi,5640
T Cell_unassigned &,5496
NK: CD16+ CD56+  NK cell & CD8lo CD161hi CD38lo,4322
CD8+: pSTAT1,2869
CD8+: pSTAT3,2869
CD8+: pSTAT5,2869
B cell: pSTAT1,2869
Mono: pSTAT1,2869
CD4+: pSTAT5,2869
B cell: pSTAT3,2869
B cell: pSTAT5,2869
CD4+: pSTAT1,2869
Mono: pSTAT5,2869
CD4+: pSTAT3,2869
Mono: pSTAT3,2869
T: CD4+CD8+ T cell &,2472
CD8+ T cells,2453
CD8+CD45RA-: pSTAT3,2327
CD4+CD45RA-: pSTAT5,2327
CD8+CD45RA+: pSTAT3,2327
CD8+CD45RA+: pSTAT5,2327
CD8+CD45RA-: pSTAT5,2327
CD8+CD45RA-: pSTAT1,2327
CD8+CD45RA+: pSTAT1,2327
CD4+CD45RA+: pSTAT1,2327
CD4+CD45RA-: pSTAT3,2327
CD4+CD45RA-: pSTAT1,2327
CD4+CD45RA+: pSTAT5,2327
CD4+CD45RA+: pSTAT3,2327
CD4+ T cells,2304
B Cell_unassigned &,2088
NK cells,2067
CD123+_unassigned &,2064
lymphocytes,1399
viable/singlets,1373
CD3+ T cells,1352
B cells,1239
T cells,1161
Non BT: pSTAT5,1143
Non BT: pSTAT3,1143
Non BT: pSTAT1,1143
viable,1042
Live cells/CD8 T cells/CD8+ CD45RA-/Infected,820
Live cells/CD8 T cells/CD8+ CD45RA-/Uninfected,820
Live cells/Non T cells,820
Live cells/CD8 T cells/CD8+ CD45RA+/Uninfected,820
Live cells/Non T cells/B cells,820
Live cells/CD8 T cells/CD8+ CD45RA+/Infected,820
Live cells/CD8 T cells/CD8+ CD45RA+,820
Live cells/CD8 T cells,820
Live cells/CD4 T cells/CD4+ CD45RA-/Uninfected/SSC high,820
Live cells/CD4 T cells/CD4+ CD45RA-/Uninfected/SSC low,820
Live cells/Non T cells/Monocytes/Uninfected,820
Live cells/Non T cells/B cells/Infected,820
Live cells/Non T cells/B cells/Uninfected,820
Live cells/Non T cells/Monocytes,820
Live cells/Non T cells/Monocytes/Infected,820
Live cells/CD4 T cells/CD4+ CD45RA-/Infected/SSC low,820
Live cells/Non T cells/Other cells,820
Live cells/Non T cells/Other cells/Infected,820
Live cells/Non T cells/Other cells/Infected/SSC high,820
Live cells/Non T cells/Other cells/Infected/SSC low,820
Live cells/Non T cells/Other cells/Uninfected,820
Live cells/Non T cells/Other cells/Uninfected/SSC high,820
Live cells/Non T cells/Other cells/Uninfected/SSC low,820
Live cells/Total infected cells,820
Live cells/CD4 T cells/CD4+ CD45RA-/Uninfected,820
Live cells/CD8 T cells/CD8+ CD45RA-,820
Live cells/CD4 T cells/CD4+ CD45RA-/Infected/SSC high,820
Live cells/CD4 T cells/CD4+ CD45RA+/Infected,820
Live cells/CD4 T cells/CD4+ CD45RA-/Infected,820
Live cells,820
Live cells/CD4 T cells,820
Live cells/CD4 T cells/CD4+ CD45RA+,820
Live cells/CD4 T cells/CD4+ CD45RA+/Infected/SSC high,820
Live cells/CD4 T cells/CD4+ CD45RA+/Uninfected,820
Live cells/CD4 T cells/CD4+ CD45RA+/Uninfected/SSC high,820
Live cells/CD4 T cells/CD4+ CD45RA+/Uninfected/SSC low,820
Live cells/CD4 T cells/CD4+ CD45RA-,820
Live cells/CD4 T cells/CD4+ CD45RA+/Infected/SSC low,820
IFN-gamma- IL-17+ CD8+ T cells,802
Granzyme B- TNF-alpha+ CD8+ T cells,802
IFN-gamma+ TNF-alpha- NK cells,802
IFN-gamma+ TNF-alpha+ NK cells,802
IFN-gamma- TNF-alpha+ NK cells,802
Granzyme B+ IFN-gamma- NK cells,802
Granzyme B+ IFN-gamma+ NK cells,802
Granzyme B- IFN-gamma+ NK cells,802
Granzyme B+ TNF-alpha- CD8+ T cells,802
Granzyme B+ TNF-alpha+ CD8+ T cells,802
IFN-gamma+ IL-17- CD4+ T cells,802
IFN-gamma+ IL-17- CD8+ T cells,802
IFN-gamma+ IL-17+ CD8+ T cells,802
Granzyme B+ TNF-alpha- CD4+ T cells,802
Granzyme B+ TNF-alpha+ CD4+ T cells,802
Granzyme B- TNF-alpha+ CD4+ T cells,802
IFN-gamma+ IL-17+ CD4+ T cells,802
IFN-gamma- IL-17+ CD4+ T cells,802
CD14pCD16p,794
CD14pCD16n,794
TFH,791
CD8,791
CD3,791
CD4,791
CD19,791
TFH1,790
TFH17,790
TFH2,790
CD1c,757
monocytes,655
BDCA3,633
CD3- cells,609
plasmablast,598
CD3- lymphocytes,596
Tregs,540
NKT cells,506
effector memory CD4+ T cells,505
effector memory CD8+ T cells,505
naive CD4+ T cells,505
central memory CD4+ T cells,505
effector CD4+ T cells,505
central memory CD8+ T cells,505
effector CD8+ T cells,505
naive CD8+ T cells,505
pDC_CD40p,489
pDC_CD2p,489
mDC,489
mDC_CD2p,489
pDC_CD86p,489
mDC_CD2n,489
mDC_CD40p,489
mDC_CD40n,489
pDC_CD86n,489
pDC_CD40n,489
pDC,489
pDC_CD2n,489
mDC_CD86p,489
mDC_CD86n,489
CD14nCD16p_CD86,488
CD14nCD16p,488
CD14nCD16n_CD86,488
CD14pCD16n_CD86,488
CD14pCD16p_CD86,488
mo,488
CD14nCD16n,488
BDCA3_CD86n,486
BDCA3_CD2n,486
BDCA3_CD86p,486
BDCA3_CD2p,486
BDCA3_CD40n,486
BDCA3_CD40p,486
PB,485
CD19_CD27p,485
CD19pCD20n,485
CD3_DR,485
CD3_ICOS,485
CD4_ICOS,485
