Intermediate_Population,Population Definition Reported,144,167,180,296,301,314,364,369,372,376,387,522,645
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, HLA-DR+",,,,,,,,X,X,X,,,X
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, ICOS+",X,,,,,,X,X,X,X,,,X
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, HLA-DR+",,,,,,,,X,X,X,,,X
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, ICOS+",X,,,,,,X,X,X,X,,,X
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, HLA-DR+",,,,,,,,,,X,,,X
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, ICOS+",X,,,,,,X,X,X,X,,,X
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+,HLA-DR+",,,,,,,,X,X,,,,
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, HLA-DR+",,,,,,,,X,X,X,,,X
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, ICOS+",X,,,,,,X,X,X,X,,,X
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, HLA-DR+",,,,,,,,,,X,,,X
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, ICOS+",X,,,,,,X,X,X,X,,,X
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, CXCR5-, CD45RA-,HLA-DR+",,,,,,,,X,X,,,,
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, HLA-DR+",,,,,,,,X,X,X,,,X
Activated CD4+ Helper T cells,"CD3+, CD4+, CD8-, ICOS+",X,,,,,,X,X,X,X,,,X
Activated CD4+ Helper T cells,"CD45+/CD3+/CD4/ICOS,Freq. of,CD4",,,X,,,,,,,,,,
Activated CD4+ Helper T cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6+/ICOS+",,,,,,,,,,,X,,
Activated CD4+ Helper T cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6-/ICOS+",,,,,,,,,,,X,,
Activated CD4+ Helper T cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6+/ICOS+",,,,,,,,,,,X,,
Activated CD4+ Helper T cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6-/ICOS+",,,,,,,,,,,X,,
Activated CD4+ Helper T cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/ICOS+",,,,,,,,,,,X,,
Activated CD4+ Helper T cells,Singlet/WBC/Lymph/CD3/CD4/ICOS+,,,,,,,,,,,X,,
Activated CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/DR,Freq. of Parent",,,,X,X,,,,,,,,
Activated CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/ICOS+,Freq. of,CD3",,,,X,X,,,,,,,,
Activated CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH/1-17/DR,Freq. of Parent",,,,X,X,,,,,,,,
Activated CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH/1-17/ICOS+,Freq. of Parent",,,,X,X,,,,,,,,
Activated CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH/1/DR,Freq. of Parent",,,,X,X,,,,,,,,
Activated CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH/1/ICOS+,Freq. of Parent",,,,X,X,,,,,,,,
Activated CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH/17/DR,Freq. of Parent",,,,X,X,,,,,,,,
Activated CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH/17/ICOS+,Freq. of Parent",,,,X,X,,,,,,,,
Activated CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH/2/DR,Freq. of Parent",,,,X,X,,,,,,,,
Activated CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH/2/ICOS+,Freq. of Parent",,,,X,X,,,,,,,,
Activated CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH/DR,Freq. of Parent",,,,X,X,,,,,,,,
Activated CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH/ICOS+,Freq. of,TH",,,,X,X,,,,,,,,
Activated CD4+ Helper T cells,"ly/CD3+/CD4+/CD38bri,Freq. of,CD4+",,,X,,,,,,,,,,
Activated CD4+ Helper T cells,"ly/CD3+/CD4+/DR,Freq. of,CD4+",,,X,,,,,,,,,,
Activated CD4+ Helper T cells,"ly/CD3+/CD4+/GranB,Freq. of,CD4+",,,X,,,,,,,,,,
Activated CD4+ Helper T cells,"ly/CD3+/CD4+/Ki67,Freq. of,CD4+",,,X,,,,,,,,,,
Activated CD4+ Helper T cells,"ly/CD3+/CD4+/Q1: HLA-DR,, CD38+,Freq. of,CD4+",,,X,,,,,,,,,,
Activated CD4+ Helper T cells,"ly/CD3+/CD4+/Q2: HLA-DR+,, CD38+,Freq. of,CD4+",,,X,,,,,,,,,,
Activated CD4+ Helper T cells,"ly/CD3+/CD4+/Q3: HLA-DR+,, CD38,Freq. of,CD4+",,,X,,,,,,,,,,
Activated CD4+ Helper T cells,"ly/CD3+/CD4+/Q4: HLA-DR,, CD38,Freq. of,CD4+",,,X,,,,,,,,,,
Activated CD4+ Helper T cells,"ly/CD3+/CD4+/Q5: K1-67,, bcl2bri,Freq. of,CD4+",,,X,,,,,,,,,,
Activated CD4+ Helper T cells,"ly/CD3+/CD4+/Q6: K1-67+,, bcl2bri,Freq. of,CD4+",,,X,,,,,,,,,,
Activated CD4+ Helper T cells,"ly/CD3+/CD4+/Q7: K1-67+,, bcl2di,Freq. of,CD4+",,,X,,,,,,,,,,
Activated CD4+ Helper T cells,"ly/CD3+/CD4+/Q8: K1-67,, bcl2di,Freq. of,CD4+",,,X,,,,,,,,,,
Activated CD4+ Helper T cells,"sing/CD45+/CD3+/CD4/ICOS,Freq. of,CD4",,,X,,,,,,,,,,
Activated CD8+ T cells,"CD3+, CD4-, CD8+, HLA-DR+",,,,,,,,X,X,X,,,X
Activated CD8+ T cells,"CD3+, CD4-, CD8+, ICOS+",X,,,,,,X,X,X,X,,,X
Activated CD8+ T cells,"CD45+/CD3+/CD8/ICOS,Freq. of,CD8",,,X,,,,,,,,,,
Activated CD8+ T cells,Singlet/WBC/Lymph/CD3/CD8/ICOS+,,,,,,,,,,,X,,
Activated CD8+ T cells,"Singlets/WBC/Lymph/CD3/CD8/DR,Freq. of,CD8",,,,X,X,,,,,,,,
Activated CD8+ T cells,"Singlets/WBC/Lymph/CD3/CD8/ICOS+,Freq. of,CD8",,,,X,X,,,,,,,,
Activated CD8+ T cells,"ly/CD3+/CD8+/CD38bri,Freq. of,CD8+",,,X,,,,,,,,,,
Activated CD8+ T cells,"ly/CD3+/CD8+/DR,Freq. of,CD8+",,,X,,,,,,,,,,
Activated CD8+ T cells,"ly/CD3+/CD8+/GranB,Freq. of,CD8+",,,X,,,,,,,,,,
Activated CD8+ T cells,"ly/CD3+/CD8+/Ki67,Freq. of,CD8+",,,X,,,,,,,,,,
Activated CD8+ T cells,"ly/CD3+/CD8+/Q1: HLA-DR,, CD38+,Freq. of,CD8+",,,X,,,,,,,,,,
Activated CD8+ T cells,"ly/CD3+/CD8+/Q2: HLA-DR+,, CD38+,Freq. of,CD8+",,,X,,,,,,,,,,
Activated CD8+ T cells,"ly/CD3+/CD8+/Q3: HLA-DR+,, CD38,Freq. of,CD8+",,,X,,,,,,,,,,
Activated CD8+ T cells,"ly/CD3+/CD8+/Q6: K1-67+,, bcl2bri,Freq. of,CD8+",,,X,,,,,,,,,,
Activated CD8+ T cells,"ly/CD3+/CD8+/Q7: K1-67+,, bcl2di,Freq. of,CD8+",,,X,,,,,,,,,,
Activated CD8+ T cells,"sing/CD45+/CD3+/CD8/ICOS,Freq. of,CD8",,,X,,,,,,,,,,
Activated CD8+ T cells,"sing/CD45+/CD3+/CD8/Teff,Freq. of,CD8",,,X,,,,,,,,,,
Activated Classical Monocytes,"CD14+, HLA-DR+, CD16-, CD86+",X,,,,,,X,X,X,X,,,X
Activated Classical Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD86+",,,,,,,,,,,X,,
Activated Classical Monocytes,"WBC/2-WBC/lymono/monos/CD14+CD16-/CD40+,Freq. of,CD14+CD16-",,,X,,,,,,,,,,
Activated Classical Monocytes,"WBC/2-WBC/lymono/monos/CD14+CD16-/CD86+,Freq. of,CD14+CD16-",,,X,,,,,,,,,,
Activated Classical Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD40+,Freq. of,CD14+CD16-",,,X,,,,,,,,,,
Activated Classical Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD86+,Freq. of,CD14+CD16-",,,X,,,,,,,,,,
Activated Double Negative B cells,"CD19+, CD3-, CD14-, CD27-, IgD-, CD86+",X,,,,,,X,X,X,X,,,
Activated Double Negative B cells,"CD19+, CD3-, CD14-, CD27-, IgD-, HLADR+",,,,,,,,,,,,,X
Activated Double Negative B cells,"Singlet/WBC/Lymph/CD19/CD27-, IgD-/CD86+",,,,,,,,,,,X,,
Activated Intermediate Monocytes,"CD14+, HLA-DR+, CD16+, CD86+",X,,,,,,X,X,X,X,,,X
Activated Intermediate Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD86+",,,,,,,,,,,X,,
Activated Intermediate Monocytes,"WBC/2-WBC/lymono/monos/CD14+CD16+/CD40+,Freq. of,CD14+CD16+",,,X,,,,,,,,,,
Activated Intermediate Monocytes,"WBC/2-WBC/lymono/monos/CD14+CD16+/CD86+,Freq. of,CD14+CD16+",,,X,,,,,,,,,,
Activated Intermediate Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD40+,Freq. of,CD14+CD16+",,,X,,,,,,,,,,
Activated Intermediate Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD86+,Freq. of,CD14+CD16+",,,X,,,,,,,,,,
