Experiment,Treatment,Tissue,Mouse,Target,Timepoint_pre,Timepoint_peak,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB
C57BL/6,Intramuscular ,Lung,1,no,PBS,4.50E+02,1.599298813715902,-2.104069202250247,,,,,,,,,,,-0.7029470821933517,,,-0.4432340984922148,,,,,,,,,,,0.355287817299041,,,-0.07420166251600122,,-1.529046069643725,,,,
C57BL/6,Intramuscular ,Lung,1,no,PBS,4.50E+04,1.5580639825116893,-2.060023280305077,,,,,,,,,,,1.1594863083660873,,,-0.36907856099374187,,,,,,,,,,,-0.9827832759940731,,,-1.2300639597142007,,1.8973675336438798,,,,
C57BL/6,Intramuscular ,Lung,1,Yes,PBS,4.50E+06,1.7224811622183578,-2.3910730006133285,,,,,,,,,,,1.407114032655657,,,-0.27719696189561677,,,,,,,,,,,-0.7833191555057114,,,-0.8115340357086176,,1.9619900246256694,,,,
C57BL/6,Intramuscular ,Lung,2,no,PBS,4.50E+02,-1.1305809805193905,0.9345988450329669,,,,,,,,,,,0.9143876935975803,,,-0.5814512886049754,,,,,,,,,,,-1.067179876474044,,,-1.6225114162824295,,-0.6129974055109718,,,,
C57BL/6,Intramuscular ,Lung,2,no,PBS,4.50E+04,1.2022870732968276,-2.6070225143032544,,,,,,,,,,,0.8315194650311768,,,-0.3927460392855894,,,,,,,,,,,-0.1964078724845493,,,-0.6090084267191976,,-0.6567835723822767,,,,
C57BL/6,Intramuscular ,Lung,2,Yes,PBS,4.50E+06,0.6914270040477183,-1.175661965704446,,,,,,,,,,,0.5615475578709077,,,-0.5126164831846984,,,,,,,,,,,-0.37193971575782653,,,-0.36245930077843563,,-0.645368044492241,,,,
C57BL/6,Intramuscular ,Lung,3,no,PBS,4.50E+02,1.0138975619637596,-0.9544933025107097,,,,,,,,,,,0.6768053666021079,,,1.9056257813873605,,,,,,,,,,,0.5413024807158284,,,-0.3910062811415921,,0.045247866033898555,,,,
C57BL/6,Intramuscular ,Lung,3,no,PBS,4.50E+04,-0.2125946826085335,0.24177284432576007,,,,,,,,,,,0.8244962955633902,,,1.9827932834899373,,,,,,,,,,,-1.4384598467628131,,,-2.1127690737142406,,0.8320842967526269,,,,
C57BL/6,Intramuscular ,Lung,3,Yes,PBS,4.50E+06,1.0986132322458653,-1.0640306857586146,,,,,,,,,,,0.8244962955633902,,,1.9598036262586893,,,,,,,,,,,0.11204786023052897,,,-0.5577677658278885,,1.1080391369190465,,,,
C57BL/6,Intranasal,Lung,1,no,PBS,4.50E+02,-0.7767811024502144,0.5949753681422318,,,,,,,,,,,0.1192375807899165,,,1.6768756944157162,,,,,,,,,,,-0.2050957957926246,,,-0.47561919278660386,,-0.2116747954390402,,,,
C57BL/6,Intranasal,Lung,1,Maybe,PBS,4.50E+04,-1.72215134449906,1.7911981720359402,,,,,,,,,,,-0.6288478644524338,,,1.9026087204378528,,,,,,,,,,,-0.3116423471704811,,,-0.45285938807618037,,-0.6503317662412944,,,,
C57BL/6,Intranasal,Lung,1,Yes,PBS,4.50E+06,-0.4997914287129743,0.41258380126540606,,,,,,,,,,,2.063438793455781,,,1.9654595324342328,,,,,,,,,,,-1.206244132466595,,,-1.1471767383858418,,0.48580926544345343,,,,
C57BL/6,Intranasal,Lung,2,no,PBS,4.50E+02,0.1210670501825148,-0.05973619816003507,,,,,,,,,,,0.9908458853276024,,,-0.4988983890816299,,,,,,,,,,,0.8806921149628923,,,0.26045413571762255,,-0.9154415782579164,,,,
C57BL/6,Intranasal,Lung,2,Maybe,PBS,4.50E+04,1.5255279858059714,-1.2902123146785327,,,,,,,,,,,1.7900796705906086,,,-0.22866143904763994,,,,,,,,,,,0.04694805742075269,,,-0.10969980378563932,,-0.9278071721625555,,,,
C57BL/6,Intranasal,Lung,2,Yes,PBS,4.50E+06,2.8152171279141998,-3.829929667519144,,,,,,,,,,,3.4276537440371566,,,-0.1867911765633578,,,,,,,,,,,-0.464651636366133,,,-0.9285974432089931,,1.0995903759442949,,,,
C57BL/6,Intranasal,Lung,3,no,PBS,4.50E+02,-1.075804538740606,1.1168235028604834,,,,,,,,,,,0.5945954416781523,,,-0.6025717783431156,,,,,,,,,,,-0.6693073081133691,,,-0.5021035022147946,,-0.24806789737385337,,,,
C57BL/6,Intranasal,Lung,3,Maybe,PBS,4.50E+04,-3.718452006521911,2.8930027971714356,,,,,,,,,,,0.08426420868732203,,,-0.5735675156745609,,,,,,,,,,,0.3378020742364478,,,0.3036408713285103,,-0.5153234597443305,,,,
