mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_balance,param_classify__shrinkage,param_classify__solver,param_select,param_transform,param_select__k,param_transform__n_components,params,split0_test_f1_weighted_scorer,split1_test_f1_weighted_scorer,split2_test_f1_weighted_scorer,split3_test_f1_weighted_scorer,split4_test_f1_weighted_scorer,split5_test_f1_weighted_scorer,split6_test_f1_weighted_scorer,mean_test_f1_weighted_scorer,std_test_f1_weighted_scorer,rank_test_f1_weighted_scorer,split0_test_roc_auc_scorer,split1_test_roc_auc_scorer,split2_test_roc_auc_scorer,split3_test_roc_auc_scorer,split4_test_roc_auc_scorer,split5_test_roc_auc_scorer,split6_test_roc_auc_scorer,mean_test_roc_auc_scorer,std_test_roc_auc_scorer,rank_test_roc_auc_scorer,split0_test_accuracy_scorer,split1_test_accuracy_scorer,split2_test_accuracy_scorer,split3_test_accuracy_scorer,split4_test_accuracy_scorer,split5_test_accuracy_scorer,split6_test_accuracy_scorer,mean_test_accuracy_scorer,std_test_accuracy_scorer,rank_test_accuracy_scorer
0.15944579669407435,0.010045893857631463,0.008858510426112584,0.0018445899065755965,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),,50.0,,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 50, 'transform': None}",0.42535959974984366,0.46428571428571425,0.5684587813620071,0.6841283191157034,0.4832417582417582,0.47664165103189493,0.4857142857142857,0.5125471585001725,0.08050293398426804,1,0.42105263157894735,0.5377777777777778,0.3793103448275862,0.74,0.5191815856777493,0.4961636828644501,0.4782608695652174,0.5102495560416754,0.10686821450275666,17,0.425,0.4666666666666667,0.6,0.6857142857142857,0.55,0.475,0.4857142857142857,0.5268707482993197,0.0840924056898751,15
0.12238679613385882,0.0190702133047789,0.0055048465728759766,0.000539193769344128,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),LinearDiscriminantAnalysis(),50.0,1.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 50, 'transform': LinearDiscriminantAnalysis(), 'transform__n_components': 1}",0.42535959974984366,0.46428571428571425,0.5684587813620071,0.6841283191157034,0.4832417582417582,0.47664165103189493,0.4857142857142857,0.5125471585001725,0.08050293398426804,1,0.42105263157894735,0.5377777777777778,0.3793103448275862,0.7466666666666666,0.5191815856777493,0.4961636828644501,0.48913043478260865,0.5127547320251123,0.10851747750450329,16,0.425,0.4666666666666667,0.6,0.6857142857142857,0.55,0.475,0.4857142857142857,0.5268707482993197,0.0840924056898751,15
0.028930187225341797,0.059555756500715526,0.007453339440482003,0.0031057504719301976,,,svd,,,,,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': None, 'transform': None}",0.42535959974984366,0.46428571428571425,0.5518981880931838,0.6841283191157034,0.4430118798043326,0.5025062656641603,0.4857142857142857,0.5081291789181749,0.08145005777056384,3,0.4085213032581454,0.5377777777777778,0.32915360501567403,0.7433333333333334,0.5063938618925832,0.4884910485933504,0.4782608695652174,0.4988473999194402,0.11882264217701548,19,0.425,0.4666666666666667,0.575,0.6857142857142857,0.525,0.5,0.4857142857142857,0.5232993197278911,0.07917429287306946,17
0.006519487925938198,0.00012420210292167757,0.007875442504882812,0.00010940715120110192,,,svd,,LinearDiscriminantAnalysis(),,1.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': None, 'transform': LinearDiscriminantAnalysis(), 'transform__n_components': 1}",0.42535959974984366,0.46428571428571425,0.5518981880931838,0.6841283191157034,0.4430118798043326,0.5025062656641603,0.4857142857142857,0.5081291789181749,0.08145005777056384,3,0.4085213032581454,0.5377777777777778,0.32915360501567403,0.7433333333333334,0.5063938618925832,0.4884910485933504,0.4782608695652174,0.4988473999194402,0.11882264217701548,19,0.425,0.4666666666666667,0.575,0.6857142857142857,0.525,0.5,0.4857142857142857,0.5232993197278911,0.07917429287306946,17
0.11710820879255023,0.021761140874498094,0.005252667835780552,0.0002662837668369618,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),"PCA(random_state=42, svd_solver='full')",10.0,5.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 10, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 5}",0.3614754098360656,0.38440492476060195,0.6324675324675326,0.6717460317460318,0.34031339031339025,0.6629141311697092,0.49857142857142867,0.5074132641235372,0.1369326231336252,5,0.531328320802005,0.4666666666666667,0.6018808777429466,0.6833333333333333,0.3964194373401535,0.7800511508951407,0.43478260869565216,0.556351770782271,0.12943041863225918,5,0.525,0.5,0.7,0.6857142857142857,0.45,0.675,0.4857142857142857,0.5744897959183674,0.09971586038002486,5
0.15744955199105398,0.031881646425285216,0.006637164524623326,0.0016531073094994857,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),,10.0,,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 10, 'transform': None}",0.4149999999999999,0.3181818181818182,0.60078125,0.6612924540769128,0.2535087719298245,0.6102098466505247,0.6487012987012987,0.5010964913629113,0.15650776490547438,6,0.5363408521303258,0.40888888888888886,0.47648902821316613,0.7333333333333333,0.4782608695652174,0.5856777493606138,0.5144927536231885,0.5333547821592477,0.09625458677395378,9,0.55,0.4666666666666667,0.65,0.6857142857142857,0.425,0.675,0.6571428571428571,0.5870748299319727,0.09890154016331089,1
0.10604899270193917,0.010303879244866998,0.005642345973423549,0.0009067288212225488,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),"PCA(random_state=42, svd_solver='full')",10.0,10.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 10, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 10}",0.4149999999999999,0.325,0.5576923076923077,0.5997092639090789,0.3059523809523809,0.6629141311697092,0.5752380952380952,0.4916437398516531,0.13119658840205853,7,0.5463659147869674,0.4444444444444444,0.47962382445141066,0.7,0.47826086956521735,0.7416879795396419,0.5434782608695652,0.5619801848081781,0.10659444610925434,1,0.55,0.4,0.625,0.6285714285714286,0.45,0.675,0.5714285714285714,0.5571428571428572,0.09260168943543835,7
0.008965696607317244,0.0028909844000158686,0.012836524418422155,0.00403740979035127,,,svd,,"PCA(random_state=42, svd_solver='full')",,5.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': None, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 5}",0.3614754098360656,0.4171428571428571,0.6166666666666667,0.6612924540769128,0.3059523809523809,0.6543326345213138,0.4138957816377172,0.49010831211913064,0.13829719219750236,8,0.506265664160401,0.45333333333333337,0.42946708463949845,0.8,0.5191815856777494,0.7391304347826086,0.3876811594202899,0.5478656088591258,0.1470281474081065,7,0.525,0.43333333333333335,0.675,0.6857142857142857,0.45,0.675,0.4,0.5491496598639455,0.1173513752488781,9
0.11337917191641671,0.01688675297768891,0.005157300404139927,0.00025477896555022706,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),,30.0,,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 30, 'transform': None}",0.46333333333333326,0.5417156286721504,0.32936507936507936,0.6841283191157034,0.34031339031339025,0.65,0.3838345864661654,0.48467004818083165,0.13413922235373932,9,0.4837092731829574,0.5733333333333334,0.36990595611285265,0.6366666666666667,0.5217391304347825,0.6572890025575449,0.41304347826086957,0.5222409772212867,0.10039680765198324,13,0.475,0.5666666666666667,0.375,0.6857142857142857,0.45,0.65,0.37142857142857144,0.5105442176870748,0.11706932556718129,19
0.009121247700282506,0.0021817468752559177,0.012254340308053153,0.0038659457332566923,,,svd,,"PCA(random_state=42, svd_solver='full')",,10.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': None, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 10}",0.3614754098360656,0.4570135746606335,0.6401027077497666,0.6717460317460318,0.2535087719298245,0.6543326345213138,0.3525447525447526,0.4843891261411984,0.1580126599359962,10,0.4786967418546366,0.3644444444444444,0.4106583072100314,0.75,0.5191815856777494,0.7647058823529411,0.3659420289855073,0.521946998646473,0.15781909048334286,14,0.525,0.4666666666666667,0.675,0.6857142857142857,0.425,0.675,0.34285714285714286,0.5421768707482993,0.12836475127968497,12
0.13652845791407994,0.01568602351364114,0.00782465934753418,0.0016999177191219486,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),"PCA(random_state=42, svd_solver='full')",50.0,5.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 50, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 5}",0.3614754098360656,0.375,0.6166666666666667,0.6612924540769128,0.3059523809523809,0.6543326345213138,0.4138957816377172,0.4840879039558653,0.1422046022390901,11,0.5087719298245614,0.4444444444444444,0.4200626959247649,0.7966666666666666,0.5191815856777494,0.7544757033248082,0.37681159420289856,0.5457735171522705,0.1526897630711356,8,0.525,0.4,0.675,0.6857142857142857,0.45,0.675,0.4,0.5443877551020407,0.12251698791676437,11
0.13157480103628977,0.022743706635545213,0.006100075585501534,0.0012448103003955798,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),"PCA(random_state=42, svd_solver='full')",50.0,2.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 50, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 2}",0.3614754098360656,0.3333333333333333,0.5970588235294118,0.6057142857142856,0.2535087719298245,0.6543326345213138,0.576,0.4830604655520335,0.14923931791851958,12,0.5137844611528821,0.6,0.33228840125391845,0.7533333333333333,0.4910485933503837,0.7595907928388747,0.4528985507246377,0.5575634475220043,0.14588947381897993,2,0.525,0.5,0.7,0.6571428571428571,0.425,0.675,0.6,0.5831632653061224,0.09498569567224684,2
0.004556894302368164,0.0011747128970097602,0.006222758974347796,0.001359738058281501,,,svd,,"PCA(random_state=42, svd_solver='full')",,2.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': None, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 2}",0.3614754098360656,0.3333333333333333,0.5970588235294118,0.6057142857142856,0.2535087719298245,0.6543326345213138,0.576,0.4830604655520335,0.14923931791851958,12,0.5137844611528821,0.6,0.3291536050156739,0.7533333333333333,0.4884910485933504,0.7621483375959078,0.4528985507246377,0.5571156194879693,0.1472576339473248,3,0.525,0.5,0.7,0.6571428571428571,0.425,0.675,0.6,0.5831632653061224,0.09498569567224684,2
0.14590232712881906,0.029876240359976786,0.00715947151184082,0.0020849517383495436,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),"PCA(random_state=42, svd_solver='full')",30.0,2.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 30, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 2}",0.3614754098360656,0.3333333333333333,0.5970588235294118,0.6057142857142856,0.2535087719298245,0.6543326345213138,0.576,0.4830604655520335,0.14923931791851958,12,0.5162907268170426,0.5733333333333334,0.3385579937304075,0.7533333333333333,0.49104859335038364,0.7647058823529411,0.4601449275362319,0.556773541493382,0.14395414858438035,4,0.525,0.5,0.7,0.6571428571428571,0.425,0.675,0.6,0.5831632653061224,0.09498569567224684,2
0.13876220158168248,0.018819080220162328,0.006967646735055106,0.0016893243791429448,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),"PCA(random_state=42, svd_solver='full')",50.0,10.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 50, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 10}",0.3614754098360656,0.4171428571428571,0.6578125,0.6972049689440993,0.2535087719298245,0.622079772079772,0.3198879551820728,0.47558746215924164,0.16638118629191323,15,0.493734335839599,0.3644444444444444,0.42946708463949845,0.74,0.5217391304347826,0.7493606138107417,0.37681159420289856,0.5250796004817093,0.14852380456214734,11,0.525,0.43333333333333335,0.7,0.7142857142857143,0.425,0.65,0.3142857142857143,0.5374149659863946,0.14332951542881336,13
0.1269376618521554,0.03760310749134002,0.0061414241790771484,0.0016046510963183924,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),"PCA(random_state=42, svd_solver='full')",30.0,10.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 30, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 10}",0.3614754098360656,0.4,0.5576923076923077,0.6612924540769128,0.2535087719298245,0.6543326345213138,0.4398496240601503,0.4754501717309393,0.14268267340618795,16,0.4711779448621554,0.42666666666666664,0.46394984326018807,0.74,0.4936061381074169,0.6930946291560103,0.3804347826086956,0.5241328578087333,0.12685965087879283,12,0.525,0.4666666666666667,0.625,0.6857142857142857,0.425,0.675,0.42857142857142855,0.5472789115646257,0.10525878279924811,10
0.10861171994890485,0.0062997869076872595,0.0055277347564697266,0.00031638598461934447,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),"PCA(random_state=42, svd_solver='full')",30.0,5.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 30, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 5}",0.3614754098360656,0.36507936507936506,0.5843283582089552,0.6366459627329192,0.3059523809523809,0.6543326345213138,0.41513877207737593,0.4747075547726251,0.1348928384092425,17,0.481203007518797,0.3911111111111111,0.3730407523510971,0.73,0.45268542199488493,0.7570332480818414,0.3840579710144928,0.5098759302960321,0.15226543722604277,18,0.525,0.4666666666666667,0.675,0.6571428571428571,0.45,0.675,0.4,0.5498299319727892,0.1087584701589733,8
