Population Definition Reported,count
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD45RA+ CD27-,8808
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD45RA- CD27+ CD161lo CD38hi CD127lo,8808
CD19+ CD3- CD56- CD14- CD24- CD27- CD38+ CD1clo IgDhi CD123hi,8808
CD19+ CD3- CD56- CD14- CD24- CD27- CD38+ CD1chi,8808
CD19+ CD3- CD56- CD14- CD24- CD27- CD38-,8808
CD19+ CD3- CD56- CD14- CD24- CD27- CD38+ CD1clo IgDhi CD123lo,8808
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD25+ CD127- CD38hi,8808
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD45RA- CD27+ CD161lo CD38lo CD127lo,8808
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD45RA- CD27+ CD161lo CD38lo CD127hi,8808
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD45RA+ CD27+ CD38hi CD127lo CD24lo,8808
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD45RA+ CD27+ CD38lo,8808
CD19+ CD3- CD56- CD14- CD27+ CD38+,8808
CD19+ CD3- CD56- CD14- CD38+ CD24+ CD27-,8808
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD45RA- CD27+ CD161hi CD38lo CD127hi,8808
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD45RA- CD27- CD161hi,8808
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD45RA- CD27- CD161lo CD127lo,8808
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD25+ CD127- CD38lo HLADRlo CD27lo,8808
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD25+ CD127- CD38lo HLADRlo CD27hi,8808
CD19+ CD3- CD56- CD14- CD24- CD27- CD38+ CD1clo IgDlo,8808
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD45RA- CD27- CD161lo CD127hi,8808
