Fold,Model,MAE_Real,RMSE_Real,MAPE_Perc,R2_LogScale
1,RandomForest,103.64403531060421,390.6816434277779,0.890538859216141,0.685715399150842
2,RandomForest,105.29150853586414,330.6775268965635,1.0237732238497086,0.5867977222719039
3,RandomForest,109.87830723879487,371.3521280915612,1.0840239174284396,0.5863431212100021
4,RandomForest,116.69368155252879,432.98552736521424,0.8635870102141332,0.6415683347889766
5,RandomForest,120.69033134060358,455.4955860361755,1.2967902885788818,0.5492604874538585
6,RandomForest,118.76025567821281,364.84121036373614,0.7708186026292135,0.6313050352370679
7,RandomForest,95.85755068494193,224.06784500998455,1.0646351075998042,0.5984287914481522
8,RandomForest,105.49305330462538,462.6852003962007,1.1438571289353867,0.5934143580011435
9,RandomForest,93.2049697262764,226.05548860033431,0.8863256059771815,0.6311148361391836
10,RandomForest,101.6713564748275,232.36880718121307,1.078065620062161,0.6034770749941812
